Order,praatword,distance,surprisal
286,like,13,8.350366
287,a,9,2.035537
288,tunnel,13,9.636308
289,for,13,4.119678
290,some,12,5.161695
291,way,15,7.065257
292,and,15,2.527011
293,then,9,4.569990
294,dipped,14,8.214106
295,suddenly,11,8.685115
296,down,12,5.065167
297,so,12,7.587503
298,suddenly,9,8.899029
299,that,12,3.015989
300,alice,14,10.049140
301,had,15,2.746291
302,not,15,3.652644
303,a,9,7.066555
304,moment,17,6.118483
305,to,14,1.777306
306,think,20,4.877352
307,about,18,1.371688
308,stopping,21,9.094011
309,herself,23,6.679154
310,before,24,5.634267
311,she,24,2.631472
312,found,26,5.595392
313,herself,26,3.206278
314,falling,27,7.759729
315,down,28,3.724968
320,a,11,4.381248
321,very,29,6.652148
322,deep,31,5.706982
323,well,31,9.275138
324,either,9,9.078453
325,the,7,2.540251
326,well,10,8.475721
327,was,10,5.470206
328,very,9,5.429809
329,deep,11,6.294037
330,or,12,5.167652
331,she,9,9.295526
332,fell,14,6.779593
333,very,14,7.320596
334,slowly,13,4.100570
335,for,12,4.441809
336,she,13,8.865025
337,had,15,3.927286
338,plenty,15,6.626607
339,of,15,0.132666
340,time,17,3.367194
341,as,17,5.333910
342,she,18,2.318312
343,went,17,4.213864
344,down,18,4.363207
345,to,15,2.115092
346,look,19,6.840756
347,about,19,7.569161
348,her,18,2.485760
349,and,22,3.903840
350,to,21,2.745340
351,wonder,22,11.302042
352,what,22,5.822546
353,was,24,2.729579
354,going,25,2.662714
355,to,14,1.773795
356,happen,28,0.573898
357,next,29,6.201846
358,first,9,7.460668
359,she,10,4.887894
360,tried,10,6.149951
361,to,12,0.193412
362,look,13,6.223391
363,down,14,4.376150
364,and,15,2.328127
365,make,9,4.382887
366,out,15,7.990576
367,what,16,3.757797
368,she,17,2.325545
369,was,18,1.994443
370,coming,18,6.222071
371,to,15,1.363778
372,but,20,4.606633
373,it,19,3.401278
374,was,18,0.841763
375,too,18,4.236026
376,dark,19,5.789731
377,to,14,1.308005
378,see,15,3.209362
379,anything,16,5.726455
380,then,17,8.649640
381,she,16,3.538747
382,looked,19,4.609664
383,at,15,2.012064
384,the,8,1.797993
385,sides,14,9.110184
386,of,14,1.592036
387,the,9,0.624300
388,well,16,8.853657
389,and,16,2.761146
390,noticed,9,6.490295
391,that,13,1.965308
392,they,14,2.982263
393,were,16,1.226968
394,filled,17,8.362114
395,with,17,0.309280
396,cupboards,7,2.790055
397,and,19,1.964412
398,book-shelves,6,1.481088
399,here,20,7.922756
400,and,20,3.620153
401,there,9,2.122263
402,she,20,5.746446
403,saw,12,5.356533
404,maps,20,13.227034
405,and,13,2.308001
406,pictures,9,4.220941
407,hung,14,9.622158
409,on,14,6.045767
410,pegs,10,3.984159
411,she,9,5.040805
412,took,10,5.413466
413,down,9,6.181908
414,a,8,2.190983
415,jar,10,8.857727
416,from,12,4.020749
417,one,9,5.170375
418,of,14,1.038530
419,the,8,0.641316
420,shelves,9,9.514221
421,as,16,5.457232
422,she,9,2.006945
423,passed,14,4.600860
424,it,14,4.422019
425,was,15,5.888174
426,labelled,15,12.230784
427,orange,12,10.209598
428,marmalade,10,3.190883
429,but,15,3.936440
430,to,14,6.153659
431,her,14,3.847404
432,great,16,7.989482
433,disappointment,16,6.707785
434,it,16,3.354099
435,was,12,0.727728
436,empty,12,8.953661
437,she,12,7.040924
438,did,15,3.778354
439,not,15,1.664853
440,like,15,4.793980
441,to,16,1.622313
442,drop,18,7.243058
443,the,11,2.252681
444,jar,19,9.501742
445,for,19,4.665929
446,fear,20,7.613262
447,of,20,1.470561
448,killing,21,5.546298
449,somebody,23,5.907590
451,so,20,6.678034
453,managed,24,14.466145
454,to,16,2.937051
455,put,25,4.856593
456,it,21,2.065914
457,into,27,2.809336
458,one,12,5.460930
459,of,28,1.328030
460,the,9,0.558316
461,cupboards,4,2.809670
462,as,16,6.396021
463,she,22,2.408613
464,fell,26,6.024139
465,past,25,5.803188
466,it,26,4.576807
467,well,9,7.897656
468,thought,9,12.133043
469,alice,11,11.032895
470,to,12,5.692882
471,herself,15,6.736025
472,after,14,5.574385
473,such,13,7.603701
474,a,8,0.771387
475,fall,14,5.586912
476,as,13,5.021385
477,this,14,6.743522
478,i,14,9.315971
479,shall,17,8.725537
480,think,17,4.931794
481,nothing,18,7.986607
482,of,13,4.223590
483,tumbling,14,14.679741
484,down,15,3.742721
