Order,praatword,distance,surprisal
286,like,12,5.457423
287,a,5,0.791968
288,tunnel,13,8.448676
289,for,13,5.020977
290,some,11,3.923472
291,way,15,4.864570
292,and,15,2.510410
293,then,9,3.357889
294,dipped,10,13.639709
295,suddenly,11,7.432336
296,down,12,4.062540
297,so,12,6.577641
298,suddenly,12,5.681919
299,that,12,0.796772
300,alice,10,10.177878
301,had,15,3.106617
302,not,11,2.409185
303,a,6,3.958923
304,moment,16,3.705442
305,to,10,1.019456
306,think,19,2.683824
307,about,20,2.856384
308,stopping,21,8.068680
309,herself,23,5.983509
310,before,24,5.193742
311,she,18,1.613462
312,found,26,4.692426
313,herself,26,1.950950
314,falling,27,7.003500
315,down,28,3.712791
320,a,12,4.411753
321,very,24,6.017266
322,deep,30,4.635683
323,well,30,10.442694
324,either,9,9.241992
325,the,6,2.831737
326,well,11,8.196048
327,was,11,3.995789
328,very,9,4.557743
329,deep,12,6.066598
330,or,12,1.369808
331,she,9,2.745749
332,fell,11,6.373151
333,very,11,6.309709
334,slowly,13,3.744323
335,for,12,5.031358
336,she,11,2.428636
337,had,15,1.545391
338,plenty,15,6.997392
339,of,16,0.232303
340,time,17,1.005435
341,as,14,5.466648
342,she,14,1.309770
343,went,19,3.477890
344,down,18,3.362011
345,to,11,1.445666
346,look,20,5.477052
347,about,21,4.111398
348,her,16,1.055767
349,and,18,3.356069
350,to,16,6.222058
351,wonder,22,8.065794
352,what,18,1.978090
353,was,25,2.044745
354,going,26,2.092032
355,to,10,0.972265
356,happen,29,0.048799
357,next,30,3.163813
358,first,9,8.086997
359,she,10,2.225667
360,tried,12,5.386765
361,to,11,0.273953
362,look,13,4.086538
363,down,14,3.697717
364,and,15,2.706346
365,make,9,4.518753
366,out,15,4.193888
367,what,16,2.435163
368,she,14,1.296083
369,was,18,1.434421
370,coming,18,6.692205
371,to,9,1.245385
372,but,19,3.766731
373,it,9,2.839496
374,was,11,0.652193
375,too,14,3.991237
376,dark,12,3.554533
377,to,12,0.979417
378,see,15,3.091744
379,anything,16,3.890647
380,then,17,7.414400
381,she,15,2.250127
382,looked,18,3.932683
383,at,11,1.271453
384,the,7,1.461243
385,sides,14,10.337367
386,of,14,0.357470
387,the,7,0.402898
388,well,15,7.947602
389,and,15,2.341826
390,noticed,9,7.585869
391,that,11,1.090766
392,they,14,3.337792
393,were,16,0.596973
394,filled,16,7.275439
395,with,17,0.170599
396,cupboards,18,11.585150
397,and,18,1.032908
398,book-shelves,9,5.369152
399,here,20,8.659288
400,and,20,1.166662
401,there,19,0.135296
402,she,19,3.300699
