praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
showing,UNK,4.03401184082,5,2.888525,2.544085,0.677582,5,2.933672,3.357642,0.598561,5,2.935079,3.973848,0.582612,5,2.927067,4.366948,0.606222,5,2.88516,4.41843,0.7533,5,2.879822,4.58997,0.770812
off,off,4.8928103447,29,5.526532,1.368643,-1.17544,29,5.51708,2.130063,-1.22758,29,5.513892,2.8312,-1.14265,29,5.484029,3.303412,-1.06354,29,5.468286,3.374303,-1.04413,29,5.471742,3.539659,-1.05031
her,her,4.73062610626,28,2.920755,1.725779,0.357136,28,2.911997,2.474529,0.344466,28,2.913754,3.115381,0.284181,28,2.910379,3.584694,0.281282,28,2.928342,3.774353,0.40005,28,2.928984,3.937243,0.397584
knowledge,knowledge,6.32577848434,32,5.736624,1.748015,0.022236,32,5.737398,2.478931,0.004402,32,5.734889,3.12256,0.007179,32,5.736873,3.584787,9.3E-05,33,5.750388,3.722817,-0.051536,33,5.749017,3.893811,-0.043432
as,as,5.78144741058,14,4.128005,3.013578,1.26556,13,4.219488,3.809764,1.33083,13,4.169315,4.414396,1.29184,13,4.263516,4.898855,1.31407,13,4.298332,5.065238,1.34242,13,4.287127,5.246715,1.3529
there,there,4.09853363037,9,4.246818,1.970504,-1.04307,9,4.242458,2.727308,-1.08246,21,4.243825,3.344095,-1.0703,20,4.2533,3.806724,-1.09213,14,4.229529,4.001923,-1.06332,14,4.254045,4.135546,-1.11117
was,was,1.67458057404,10,1.755182,2.111243,0.140739,10,1.753107,2.850366,0.123058,31,1.745802,3.460407,0.116312,29,1.745245,3.915747,0.109023,19,1.750654,4.100452,0.098529,19,1.744094,4.24062,0.105074
no,no,2.65103340149,32,5.202166,2.485802,0.374559,32,5.237103,3.18053,0.330164,32,5.213304,3.869954,0.409547,32,5.242435,4.296443,0.380696,31,5.043571,4.488103,0.387651,31,5.030548,4.639979,0.399359
one,one,5.56690216064,33,5.149236,2.034669,-0.451133,33,5.142558,2.764018,-0.416512,33,5.150961,3.43301,-0.436944,33,5.148634,3.868974,-0.427469,32,5.11755,4.032695,-0.455408,32,5.117367,4.211054,-0.428925
to,to,3.70100665092,17,3.745389,3.025721,0.991052,16,3.818083,3.719181,0.955163,16,3.76112,4.422938,0.989928,16,3.797621,4.820587,0.951613,17,3.719693,4.927692,0.894997,17,3.711204,5.086994,0.87594
listen,listen,5.56824588776,38,4.64805,1.919348,-1.10637,38,4.654405,2.563864,-1.15532,38,4.629725,3.323782,-1.09916,38,4.627137,3.737342,-1.08324,37,4.668462,3.911527,-1.01617,37,4.667338,4.104402,-0.982592
to,to,1.77581262589,19,2.367785,2.501489,0.582141,19,2.36412,3.155837,0.591973,18,2.377406,3.91253,0.588748,18,2.378537,4.312175,0.574833,19,2.394794,4.440348,0.528821,19,2.392373,4.636426,0.532024
her,her,4.04890584946,35,1.871456,2.174087,-0.327402,35,1.868869,2.821918,-0.333919,35,1.857521,3.572152,-0.340378,35,1.855061,3.987945,-0.32423,28,1.936317,4.190206,-0.250142,30,1.932471,4.390153,-0.246273
still,still,7.72681999207,41,10.070986,2.372599,0.198512,41,9.946244,3.02297,0.201052,41,9.768533,3.821262,0.24911,41,9.840818,4.190574,0.202629,40,9.271383,4.447778,0.257572,40,9.248751,4.66461,0.274457
it,it,3.91692495346,22,5.028933,1.93894,-0.433659,21,5.011851,2.583805,-0.439165,19,4.089182,3.727623,-0.093639,20,4.204639,3.955051,-0.235523,16,2.770337,4.206609,-0.241169,16,2.782663,4.388764,-0.275846
was,was,2.33423089981,31,1.942281,1.305276,-0.633664,31,1.927148,1.990522,-0.593283,19,2.190269,3.281048,-0.446575,27,2.184479,3.52061,-0.434441,19,2.109853,4.323299,0.11669,10,2.103814,4.521976,0.133212
good,good,7.63182353973,34,8.717617,1.303395,-0.001881,34,8.703767,1.999904,0.009382,32,8.960835,2.68583,-0.595218,32,8.839124,3.072,-0.44861,12,9.537265,2.916366,-1.40693,12,9.492432,3.13269,-1.38929
practice,UNK,2.77091121674,7,2.003658,1.351805,0.04841,7,2.06516,2.058205,0.058301,7,2.080906,2.748564,0.062734,7,2.104362,3.125758,0.053758,7,2.047511,2.997763,0.081397,7,2.065172,3.213,0.08031
to,to,2.25850963593,20,2.661515,1.526435,0.17463,20,2.815839,2.240112,0.181907,20,2.811781,2.982412,0.233848,20,2.863333,3.353297,0.227539,12,2.597781,3.313083,0.31532,12,2.636775,3.526529,0.313529
say,say,3.1841673851,28,3.429474,0.773492,-0.752943,33,3.44662,1.483444,-0.756668,33,3.385823,2.170937,-0.811475,34,3.395785,2.534762,-0.818535,15,3.419326,2.726254,-0.586829,15,3.424946,2.938073,-0.588456
it,it,2.09850931168,18,3.174527,1.73684,0.963348,20,3.186746,2.399685,0.916241,18,3.133026,3.041734,0.870797,18,3.137349,3.39025,0.855488,12,3.182331,3.64809,0.921836,12,3.185285,3.849148,0.911075
over,over,6.5875825882,30,6.456364,1.055677,-0.681163,37,6.471785,1.667375,-0.73231,37,6.546694,2.231119,-0.810615,38,6.520791,2.667026,-0.723224,17,6.478998,2.855786,-0.792304,17,6.486503,3.02763,-0.821518
yes,yes,10.085105896,29,11.171436,2.229821,1.17414,32,11.168405,2.860934,1.19356,29,11.150599,3.408373,1.17725,33,11.007613,3.788429,1.1214,16,11.096429,3.952158,1.09637,16,11.082495,4.151352,1.12372
that,that,5.01897621155,15,4.986468,2.442591,0.21277,16,4.995936,3.139709,0.278775,16,4.988962,3.800355,0.391982,17,4.962602,4.148727,0.360298,14,4.946167,4.475546,0.523388,14,4.945504,4.663129,0.511777
's,'s,2.10416984558,9,2.551387,1.412983,-1.02961,9,2.538957,2.084233,-1.05548,27,2.553642,2.645021,-1.15533,27,2.523743,3.050632,-1.0981,18,2.570954,3.516016,-0.95953,18,2.573722,3.730384,-0.932745
about,about,6.02930116653,33,7.150897,1.648001,0.235018,33,7.178814,2.174281,0.090048,33,7.165445,2.812357,0.167336,33,7.143641,3.231895,0.181263,20,7.318898,3.288261,-0.227755,20,7.335812,3.437942,-0.292442
the,the,2.61556053162,9,2.228357,1.763947,0.115946,9,2.324617,2.198377,0.024096,8,2.245724,2.969734,0.157377,9,2.293204,3.325071,0.093176,10,2.292387,3.376017,0.087756,9,2.300785,3.523757,0.085815
right,right,5.12426662445,32,5.123208,1.573299,-0.190648,32,5.110376,2.018997,-0.17938,32,5.105629,2.785808,-0.183926,32,5.101262,3.136956,-0.188115,19,5.111857,3.245705,-0.130312,19,5.111726,3.387898,-0.135859
