AUDIOTEXT,Trigger,segment,tmin,Order,tmax,cfg.bu,islexical,wordlength,logfreq
In,1,2,28.6539054,259,28.840815,1,0,0.2016,15.9
another,1,2,28.8555384,260,29.261767,1,1,0.421,12.56
moment,1,2,29.2764904,261,29.740678,3,1,0.4789,10.68
down,1,2,29.8392114,262,30.159726,2,0,0.3352,12.59
went,1,2,30.1744494,263,30.339002,1,1,0.1793,11.66
Alice,1,2,30.3537254,264,30.746393,2,1,0.4074,8.65
after,1,2,30.7611164,265,31.169989,3,1,0.4236,12.93
it,1,2,31.1847124,266,31.357005,2,0,0.187,15.37
never,1,2,31.7069664,267,31.967617,1,1,0.2754,12.62
once,1,2,31.9823404,268,32.362867,2,1,0.3953,12.15
considering,1,2,32.3775904,269,33.057141,1,1,0.6942,10.29
how,1,2,33.1915924,270,33.451171,2,0,0.2743,13.52
in,1,2,33.4658944,271,33.571971,1,0,0.1208,15.9
the,1,2,33.5866944,272,33.65578,1,0,0.0838,16.96
world,1,2,33.6705034,273,34.062855,3,1,0.407,12.6
she,1,2,34.0775784,274,34.230474,2,0,0.1677,13.1
was,1,2,34.2451974,275,34.457957,1,0,0.2274,14.56
to,1,2,34.4726804,276,34.55374,1,0,0.0958,16.35
get,1,2,34.5684634,277,34.710466,1,1,0.1568,13.79
out,1,2,34.7251894,278,34.921245,2,0,0.2107,13.9
again,1,2,34.9359684,279,35.403913,12,1,0.4827,12.43
The,1,2,36.4990384,280,36.571974,1,0,0.0877,16.96
rabbit,1,2,36.5866974,281,36.948297,1,1,0.3763,8.66
hole,1,2,36.9630204,282,37.139862,2,1,0.1916,10.16
went,1,2,37.1545854,283,37.294566,1,1,0.1547,11.66
straight,1,2,37.3092894,284,37.670094,1,1,0.3755,10.66
on,1,2,37.6848174,285,37.858229,1,0,0.1881,15.08
like,1,2,37.8729524,286,38.035882,1,0,0.1777,13.87
a,1,2,38.0506054,287,38.112317,1,0,0.0764,16.18
tunnel,1,2,38.1270404,288,38.516733,2,1,0.4044,8.92
for,1,2,38.5314564,289,38.696325,1,0,0.1796,15.42
some,1,2,38.7110484,290,38.995644,1,1,0.2993,13.86
way,1,2,39.0103674,291,39.306937,6,1,0.3113,13.1
and,1,2,39.6090074,292,39.773876,1,0,0.1796,16.19
then,1,2,39.7885994,293,39.989386,2,0,0.2155,13.47
dipped,1,2,40.0041094,294,40.240814,1,1,0.2514,6.79
suddenly,1,2,40.2555374,295,40.827481,2,1,0.5867,9.96
down,1,2,40.8422044,296,41.246529,6,0,0.419,12.59
so,1,2,41.4528164,297,41.783817,1,0,0.3457,14.05
suddenly,1,2,41.7985404,298,42.467753,2,1,0.6839,9.96
that,1,2,42.7219324,299,42.83208,1,0,0.1249,15.48
Alice,1,2,42.8468034,300,43.245984,2,1,0.4139,8.65
had,1,2,43.2607074,301,43.429059,1,0,0.183,13.53
not,1,2,43.4437824,302,43.604378,1,0,0.1754,14.77
a,1,2,43.6191014,303,43.653059,1,0,0.0486,16.18
moment,1,2,43.6677824,304,44.191835,1,1,0.5388,10.68
to,1,2,44.2065584,305,44.275644,1,0,0.0838,16.35
think,1,2,44.2903674,306,44.540091,1,1,0.2645,13.39
about,1,2,44.5548144,307,44.826877,1,0,0.2868,14.08
stopping,1,2,44.8416004,308,45.328672,1,1,0.5018,8.88
herself,1,2,45.3433954,309,45.820134,2,0,0.4914,9.88
before,1,2,45.8588034,310,46.179318,1,1,0.3352,12.75
she,1,2,46.1940414,311,46.406801,2,0,0.2275,13.1
found,1,2,46.4215244,312,46.658229,1,1,0.2514,12.21
herself,1,2,46.6729524,313,47.029386,2,0,0.3712,9.88
falling,1,2,47.1039734,314,47.448433,1,1,0.3592,9.5
down,1,2,47.4631564,315,47.655332,2,0,0.2069,12.59
,99,,,316,,,0,0,14.1
,99,,,317,,,1,0,10.54
,99,,,318,,,0,0,16.35
,99,,,319,,,0,0,14.95
a,1,2,47.6700554,320,47.747753,1,0,0.0924,16.18
very,1,2,47.7624764,321,48.178774,1,1,0.4311,13.28
deep,1,2,48.1934974,322,48.514012,2,1,0.3352,10.66
well,1,2,48.5287354,323,48.873195,17,1,0.3592,13.22
Either,1,2,50.2168984,324,50.549386,2,0,0.3472,12.17
the,1,2,50.5641094,325,50.681087,1,0,0.1317,16.96
well,1,2,50.6958104,326,50.980406,2,1,0.2993,13.22
was,1,2,50.9951294,327,51.159998,1,0,0.1796,14.56
very,1,2,51.1747214,328,51.519182,1,1,0.3592,13.28
deep,1,2,51.5339054,329,51.890338,1,1,0.3711,10.66
or,1,2,52.1325444,330,52.172721,1,0,0.0549,14.78
she,1,2,52.1874444,331,52.429114,2,0,0.2564,13.1
fell,1,2,52.4438374,332,52.644567,1,1,0.2155,9.73
very,1,2,52.6592904,333,52.929869,1,1,0.2853,13.28
slowly,1,2,52.9445924,334,53.638365,2,1,0.7085,10.09
for,1,2,54.0841094,335,54.217301,1,0,0.1479,15.42
she,1,2,54.2320244,336,54.380678,2,0,0.1634,13.1
had,1,2,54.3954014,337,54.584216,1,1,0.2035,13.53
plenty,1,2,54.5989394,338,55.135699,2,1,0.5515,10.03
of,1,2,55.1504224,339,55.29061,1,0,0.1549,16.21
time,1,2,55.3053334,340,55.613685,10,1,0.3231,13.58
as,1,2,55.6284084,341,55.745576,1,0,0.1319,14.79
she,1,2,55.7602994,342,55.925168,2,0,0.1796,13.1
went,1,2,55.9398914,343,56.164624,1,1,0.2394,11.66
down,1,2,56.1793474,344,56.655508,2,0,0.4909,12.59
to,1,2,56.8617964,345,56.978774,1,0,0.1317,16.35
look,1,2,56.9934974,346,57.230202,1,1,0.2514,12.44
about,1,2,57.2449254,347,57.600907,1,0,0.3707,14.08
her,1,2,57.6156304,348,57.86476,5,0,0.2638,13.3
and,1,2,57.8794834,349,57.996461,1,0,0.1317,16.19
to,1,2,58.0111844,350,58.151352,1,0,0.1549,16.35
wonder,1,2,58.1660754,351,58.500907,1,1,0.3496,10.86
what,1,2,58.5156304,352,58.666937,2,0,0.166,14.1
was,1,2,58.6816604,353,58.846529,1,0,0.1796,14.56
going,1,2,58.8612524,354,59.133876,1,0,0.2874,12.63
to,1,2,59.1485994,355,59.236435,1,0,0.1025,16.35
happen,1,2,59.2511584,356,59.672651,1,1,0.4362,11.1
next,1,2,59.6873744,357,60.295236,20,1,0.6226,12.14
First,1,3,0.478723402,358,0.954884,2,1,0.4909,13.16
she,1,3,0.986269787,359,1.170395,2,0,0.2155,13.1
tried,1,3,1.201780787,360,1.469714,1,1,0.2993,11.69
to,1,3,1.501099787,361,1.573257,1,0,0.1035,16.35
look,1,3,1.604642787,362,1.804952,1,1,0.2317,12.44
down,1,3,1.836337787,363,2.152163,3,0,0.3472,12.59
and,1,3,2.183548787,364,2.283864,1,0,0.1317,16.19
make,1,3,2.315249787,365,2.571211,1,1,0.2874,13.16
out,1,3,2.602596787,366,2.810667,2,0,0.2395,13.9
what,1,3,2.842052787,367,2.930395,2,0,0.1197,14.1
she,1,3,2.961780787,368,3.112442,2,0,0.182,13.1
was,1,3,3.143827787,369,3.301551,1,0,0.1891,14.56
coming,1,3,3.332936787,370,3.68468,1,1,0.3832,11.2
to,1,3,3.716065787,371,3.972027,12,0,0.2873,16.35
but,1,3,4.506269787,372,4.580202,1,0,0.1053,14.57
it,1,3,4.611587787,373,4.690395,2,0,0.1102,15.37
was,1,3,4.721780787,374,4.858014,1,0,0.1676,14.56
too,1,3,4.889399787,375,5.025633,1,1,0.1676,12.87
dark,1,3,5.057018787,376,5.277061,1,1,0.2514,11.17
to,1,3,5.308446787,377,5.415269,1,0,0.1383,16.35
see,1,3,5.446654787,378,5.664178,1,1,0.2489,13.27
anything,1,3,5.695563787,379,6.330667,10,0,0.6665,12.28
then,1,3,7.200147787,380,7.372299,2,0,0.2036,13.47
she,1,3,7.403684787,381,7.635701,2,0,0.2634,13.1
looked,1,3,7.667086787,382,7.881912,1,1,0.2462,11.07
at,1,3,7.913297787,383,7.994884,1,0,0.113,14.5
the,1,3,8.026269787,384,8.078694,1,0,0.0838,16.96
sides,1,3,8.110079787,385,8.456166,2,1,0.3775,10.03
of,1,3,8.487551787,386,8.53366,1,0,0.0774,16.21
the,1,3,8.565045787,387,8.635813,1,0,0.1022,16.96
well,1,3,8.667198787,388,9.132299,6,1,0.4965,13.22
and,1,3,9.522868787,389,9.648363,1,0,0.1568,16.19
noticed,1,3,9.679748787,390,10.042231,1,1,0.3939,10.53
that,1,3,10.07361679,391,10.173932,1,0,0.1317,15.48
they,1,3,10.20531779,392,10.305633,2,0,0.1317,14.3
were,1,3,10.33701879,393,10.437333,1,0,0.1317,13.41
filled,1,3,10.46871879,394,10.772571,1,1,0.3353,9.85
with,1,3,10.80395679,395,10.940191,1,0,0.1676,14.97
cupboards,1,3,10.97157679,396,11.526282,1,1,0.5861,4.96
and,1,3,11.55766779,397,11.730395,1,0,0.2041,16.19
bookshelves,1,3,11.76178079,398,12.532571,3,1,0.1818,5.43
here,1,3,14.07252879,399,14.289049,1,0,0.6204,13.08
and,1,3,14.32043479,400,14.448218,1,0,0.2479,16.19
there,1,3,14.47960379,401,14.723592,10,0,0.1592,14.09
she,1,3,14.75497779,402,14.97502,2,0,0.2754,13.1
saw,1,3,15.00640579,403,15.215752,1,1,0.2514,11.37
maps,1,3,15.24713779,404,15.749284,1,1,0.2407,9.36
and,1,3,15.78066979,405,15.87298,1,0,0.5336,16.19
pictures,1,3,15.90436579,406,16.339918,2,1,0.1237,10.46
hung,1,3,16.37130379,407,16.51076,1,1,0.4669,9.05
up,1,3,16.54214579,408,16.69224,1,0,0.1708,13.74
on,1,3,16.72362579,409,16.878694,,0,0.368,15.08
pegs,1,3,16.91007979,410,17.417469,9,1,0.5388,6.36
She,1,3,18.27497779,411,18.423184,2,0,0.1796,13.1
took,1,3,18.45456979,412,18.638694,1,1,0.2155,11.38
down,1,3,18.69402479,413,18.934845,1,0,0.2722,12.59
a,1,3,18.96623079,414,19.021823,1,0,0.087,16.18
jar,1,3,19.05320879,415,19.440871,3,1,0.4191,7.99
from,1,3,19.47225679,416,19.60849,1,0,0.1676,14.45
one,1,3,19.63987579,417,19.776109,2,0,0.1676,14.17
of,1,3,19.80749479,418,19.859918,1,0,0.0838,16.21
the,1,3,19.89130379,419,19.955701,1,0,0.0958,16.96
shelves,1,3,19.98708679,420,20.422639,5,1,0.4669,8.02
as,1,3,20.45402479,421,20.494476,1,0,0.0719,14.79
she,1,3,20.52586179,422,20.698014,2,0,0.2035,13.1
passed,1,3,20.72939979,423,21.356517,7,1,0.6585,10.32
it,1,3,21.66327679,424,21.776512,2,0,0.1446,15.37
was,1,3,21.80789779,425,21.975639,1,0,0.1991,14.56
labelled,1,3,22.00702479,426,22.540579,1,1,0.565,7.84
orange,1,3,22.57196479,427,23.081109,1,1,0.5405,9.51
marmalade,1,3,23.11249479,428,23.822912,5,1,0.7418,5.46
but,1,3,24.33320879,429,24.433524,1,0,0.1317,14.57
to,1,3,24.46490979,430,24.517333,1,0,0.0838,16.35
her,1,3,24.54871879,431,24.661007,1,0,0.1437,13.3
great,1,3,24.69239279,432,25.013288,1,0,0.3523,12.47
