Word,Trigger,Segment,onset,offset,Order,LogFreq,LogFreq_Prev,LogFreq_Next,SndPower,Length,Position,Sentence,IsLexical,NGRAM,RNN,CFG
the,1,3,32.21130379,32.270445,460,16.96,16.21,4.96,0.0032575,0.05914121,15,19,0,0.432076543,1.533963787,4.313007914
cupboards,1,3,32.30183079,32.778558,461,4.96,16.96,14.79,0.0033788,0.47672721,16,19,1,3.690163824,3.29106815,4.345457587
as,1,3,32.80994379,32.862367,462,14.79,4.96,13.1,0.00073385,0.05242321,17,19,0,1.966677768,2.608074736,2.160366473
she,1,3,32.89375279,33.065905,463,13.1,14.79,9.73,0.0016835,0.17215221,18,19,0,2.23092386,2.297884143,1.164894037
fell,1,3,33.09729079,33.281415,464,9.73,13.1,11.4,0.0009721,0.18412421,19,19,1,1.219911654,1.323641049,1.88712729
past,1,3,33.31280079,33.712152,465,11.4,9.73,15.37,7.65E-06,0.39935121,20,19,0,3.166598059,3.248009172,3.886620151
it,1,3,33.74353779,33.856109,466,15.37,11.4,13.22,5.83E-07,0.11257121,21,19,0,2.633710964,2.327642153,1.238983776
Well,1,3,35.74327679,36.286585,467,13.22,15.37,12.07,2.67E-06,0.54330821,1,20,1,3.519682474,3.576358411,2.841725276
thought,1,3,36.53985379,36.666068,468,12.07,13.22,8.65,0.011199,0.12621421,2,20,1,3.519682474,3.923443969,2.292357676
Alice,1,3,36.69745379,37.088762,469,8.65,12.07,16.35,1.08E-05,0.39130821,3,20,1,1.478766257,3.630322467,4.054680205
to,1,3,37.12014779,37.221244,470,16.35,8.65,9.88,0.0049814,0.10109621,4,20,0,4.808789891,5.157955927,3.343269872
herself,1,3,37.25262979,37.735293,471,9.88,16.35,12.93,0.0066883,0.48266321,5,20,0,1.416480105,3.010888088,2.762814776
after,1,3,37.91008579,38.221762,472,12.93,9.88,12.82,0.0045501,0.31167621,6,20,1,1.985675875,4.410714206,2.150177438
such,1,3,38.25314779,38.493398,473,12.82,12.93,16.18,0.00027327,0.24025021,7,20,1,6.51403524,7.764034385,5.452040555
a,1,3,38.52478379,38.549442,474,16.18,12.82,10.74,1.85E-07,0.02465821,8,20,0,0.399993362,1.600999359,4.742868845
fall,1,3,38.58082779,38.82307,475,10.74,16.18,14.79,5.26E-07,0.24224221,9,20,1,1.063727883,1.142889167,4.180542314
as,1,3,38.85445579,39.028354,476,14.79,10.74,14.99,3.49E-07,0.17389821,10,20,0,1.877723178,1.969808643,2.114012391
this,1,3,39.05973979,39.313313,477,14.99,14.79,15.79,4.69E-07,0.25357321,11,20,0,1.551038125,1.479394024,4.197162514
I,1,3,39.34469879,39.375565,478,15.79,14.99,11,1.12E-06,0.03086621,12,20,0,6.938079361,7.168621856,1.45118805
shall,1,3,39.40695079,39.579102,479,11,15.79,13.39,3.29E-06,0.17215121,13,20,0,2.50452118,3.230314368,4.679163105
think,1,3,39.61048779,39.794612,480,13.39,11,11.99,8.21E-05,0.18412421,14,20,1,0.778503815,0.822497866,3.264908266
nothing,1,3,39.88586179,40.441143,481,11.99,13.39,16.21,0.0021367,0.55528121,15,20,1,4.393748195,5.69662618,3.502386711
of,1,3,40.47252879,40.524952,482,16.21,11.99,6.31,0.003501,0.05242321,16,20,0,1.693322949,1.99186391,2.132113858
tumbling,1,3,40.55633779,40.991891,483,6.31,16.21,12.59,0.011276,0.43555321,17,20,1,4.029100148,4.835334393,3.90193567
down,1,3,41.02327679,41.24332,484,12.59,6.31,8.63,0.0091591,0.22004321,18,20,0,3.975451009,5.458276309,6.771549816
stairs,1,3,41.27470579,42.009578,485,8.63,12.59,13.52,0.010431,0.73487221,19,20,1,7.05916364,5.866450362,4.728677416
How,1,3,42.67552179,42.973611,486,13.52,8.63,8.62,0.010418,0.29808921,20,20,0,4.647078431,5.9547843,3.727772242
brave,1,3,43.00499679,43.470259,487,8.62,13.52,14.3,0.0013785,0.46526221,21,20,1,3.438859964,5.564943776,3.779420351
they,1,3,43.52558979,43.631851,488,14.3,8.62,14.35,0.0031125,0.10626121,22,20,0,0.664408872,3.76970509,2.502316863
ll,1,3,43.66323679,43.736447,489,14.35,14.3,14.35,0.0078137,0.07321021,23,20,0,2.022506092,2.840525399,4.06576583
all,1,3,43.76783279,43.925225,490,14.35,14.35,13.39,0.00014115,0.15739221,24,20,0,1.65297481,2.557373186,4.321399205
think,1,3,43.95661079,44.224544,491,13.39,14.35,14.08,0.0026991,0.26793321,25,20,1,0.438650639,1.553661944,2.536852776
me,1,3,44.25592979,44.344272,492,14.08,13.39,14.5,0.0042142,0.08834221,26,20,0,2.420157494,2.527891507,1.920373788
at,1,3,44.37565779,44.482822,493,14.5,14.08,12.16,0.014602,0.10716421,27,20,0,3.449423695,4.297880525,2.344791575
home,1,3,44.51420779,44.835156,494,12.16,14.5,12.8,0.0043352,0.32094821,28,20,1,4.916520019,4.420403056,4.048114709
Why,1,3,45.42502979,45.695204,495,12.8,12.16,15.79,0.0039353,0.27017421,29,20,0,4.647078431,5.721481727,3.727772242
I,1,3,45.72658979,45.781007,496,15.79,12.8,14.06,0.0029195,0.05441721,30,20,0,1.500249166,1.727789195,1.598795071
would,1,3,45.81239279,45.970963,497,14.06,15.79,14.77,0.0015144,0.15857021,31,20,0,3.630800969,3.012242222,3.94283583
nt,1,3,46.00234879,46.080327,498,14.77,14.06,12.79,0.0046551,0.07797821,32,20,0,1.65297481,2.597193316,4.086386852
say,1,3,46.11171279,46.295837,499,12.79,14.77,12.28,0.00048088,0.18412421,33,20,0,0.438650639,1.435693326,2.975757903
anything,1,3,46.32722279,46.781647,500,12.28,12.79,14.08,3.20E-05,0.45442421,34,20,0,4.864930476,5.078932266,3.348780142
about,1,3,46.81303279,47.07236,501,14.08,12.28,15.37,7.03E-06,0.25932721,35,20,0,1.693322949,1.872270852,2.354066251
it,1,3,47.10374579,47.217376,502,15.37,14.08,13.1,0.0028388,0.11363021,36,20,0,2.421403217,2.137225814,1.868006171
even,1,3,47.24876179,47.495505,503,13.1,15.37,14.65,0.0012821,0.24674321,1,21,0,4.214430516,4.182757255,2.384212089
if,1,3,47.52689079,47.648762,504,14.65,13.1,15.79,0.015838,0.12187121,2,21,0,4.017739154,3.288184714,4.033571021
I,1,3,47.68014779,47.792435,505,15.79,14.65,9.73,0.0010475,0.11228721,3,21,0,1.66344885,1.698373258,2.326911956
fell,1,3,47.82382079,48.044867,506,9.73,15.79,12.65,0.026726,0.22104621,4,21,1,1.219911654,1.606580944,1.492934395
off,1,3,48.07625279,48.223456,507,12.65,9.73,16.96,0.017065,0.14720321,5,21,0,3.917915214,4.056513284,6.766231191
the,1,3,48.25484179,48.334901,508,16.96,12.65,11.67,0.005761,0.08005921,6,21,0,2.798455344,3.254229909,4.544615937
top,1,3,48.36628679,48.630531,509,11.67,16.96,16.21,0.023969,0.26424421,7,21,1,0.779051933,1.204464467,4.437946904
of,1,3,48.66191679,48.71434,510,16.21,11.67,16.96,0.013894,0.05242321,8,21,0,1.877723178,1.873996823,2.14330859
the,1,3,48.74572579,48.837728,511,16.96,16.21,11.55,0.0015072,0.09200221,9,21,0,1.551038125,1.485139956,4.349404516
house,1,3,48.86911379,49.41563,512,11.55,16.96,13.8,0.0015688,0.54651621,10,21,1,0.824339779,0.855207852,3.553391004
Which,1,3,50.01484179,50.211737,513,13.8,11.55,14.56,0.0098326,0.19689521,11,21,0,6.969006512,7.505678691,4.469574531
was,1,3,50.24312279,50.390531,514,14.56,13.8,13.28,0.014386,0.14740821,12,21,0,1.74659671,2.172727466,2.141144724
very,1,3,50.42191679,50.652878,515,13.28,14.56,11.18,0.021373,0.23096121,13,21,1,3.252981477,2.887308834,4.866122438
likely,1,3,50.68426379,51.05536,516,11.18,13.28,0,0.016459,0.37109621,14,21,1,2.471248748,2.637700647,3.201960995
TRUE,1,3,51.08674579,51.432163,517,0,11.18,12.59,0.0020305,0.34541721,15,21,1,3.824170404,3.721428442,4.831275473
Down,1,3,52.75661079,53.730939,518,12.59,0,12.59,2.05E-06,0.97432821,1,22,0,3.875029123,4.112495192,2.937781698
down,1,3,53.76232479,54.604952,519,12.59,12.59,12.59,0.0013283,0.84262721,2,22,0,2.547932137,3.064081439,2.763061204
down,1,3,54.89973979,55.462511,520,12.59,12.59,14.06,0.0068535,0.56277121,3,22,0,6.005315171,5.77689363,2.609532242
Would,1,3,55.98926379,56.058408,521,14.06,12.59,16.96,7.79E-05,0.06914421,4,22,0,7.862073661,7.473346534,4.901040594
the,1,3,56.08979379,56.125505,522,16.96,14.06,10.74,0.0046525,0.03571121,5,22,0,3.866524987,4.523848374,5.048301966
fall,1,3,56.15689079,56.400871,523,10.74,16.96,12.62,0.0022852,0.24398021,6,22,1,0.795419073,1.651667944,4.805243909
never,1,3,56.43225679,56.977888,524,12.62,10.74,12.35,0.0048001,0.54563121,7,22,1,5.918147778,5.67582665,4.444304636
come,1,3,57.00927379,57.250939,525,12.35,12.62,16.35,0.0017674,0.24166521,8,22,1,6.966083215,6.034528616,2.857312306
to,1,3,57.28232479,57.420111,526,16.35,12.35,14.27,3.18E-07,0.13778621,9,22,0,5.059163611,4.660081103,3.994017981
an,1,3,57.45149679,57.565128,527,14.27,16.35,12.33,2.32E-07,0.11363121,10,22,0,4.966083186,3.378089264,4.761828343
end,1,3,57.59651379,57.897469,528,12.33,14.27,15.79,1.58E-07,0.30095521,11,22,1,0.738408143,1.266481136,4.308451099
I,1,3,58.81484179,58.959574,529,15.79,12.33,10.86,0.0095794,0.14473221,12,22,0,2.088240405,2.176886935,0.720338115
wonder,1,3,58.99095979,59.394068,530,10.86,15.79,13.52,0.016832,0.40310821,13,22,0,1.628449015,2.099086632,2.272201031
how,1,3,59.42545379,59.687501,531,13.52,10.86,13.07,0.015379,0.26204721,14,22,0,6.335348728,6.708680106,6.913272345
many,1,3,59.71888679,59.908898,532,13.07,13.52,10.48,0.021055,0.19001121,15,22,1,3.64415512,4.927158033,3.761298152
miles,1,3,59.94028379,60.424371,533,10.48,13.07,15.79,0.014889,0.48408721,16,22,1,3.891605544,3.630595653,4.525767169
I,1,3,60.45575679,60.535163,534,15.79,10.48,14.92,0.0014991,0.07940621,17,22,0,3.726339621,3.650455178,2.927362178
ve,1,3,60.56654879,60.615293,535,14.92,15.79,9.87,6.17E-05,0.04874421,18,22,0,1.548932022,2.440250634,2.607356061
fallen,1,3,60.64667879,61.022367,536,9.87,14.92,14.4,0.0052772,0.37568821,19,22,1,3.598378951,4.412405656,3.779095111
by,1,3,61.05375279,61.237878,537,14.4,9.87,14.99,0.0058902,0.18412521,20,22,0,2.808799828,2.565777302,4.257057265
this,1,3,61.26926379,61.560008,538,14.99,14.4,13.58,0.0011037,0.29074421,21,22,0,1.393761439,1.23925248,4.417866869
time,1,3,61.59139379,61.965839,539,13.58,14.99,13.1,4.55E-06,0.37444521,22,22,1,0.824339779,0.847652126,4.744357882
she,1,3,62.07143979,62.231619,540,13.1,13.58,12.77,0.016164,0.16017921,23,22,0,2.088240405,2.22439975,0.720338115
said,1,3,62.26300479,62.506993,541,12.77,13.1,7.15,0.013857,0.24398821,24,22,1,1.76246556,1.300344789,1.357621163
aloud,1,3,62.53837879,62.949986,542,7.15,12.77,15.79,0.0034539,0.41160721,25,22,1,2.449772483,2.116897239,5.135874399
must,1,4,0.398385787,0.720282,544,12.63,15.79,14.95,4.25E-09,0.321896213,1,23,0,2.392818026,2.786128833,3.988892743
be,1,4,0.689427631,0.871792,545,14.95,12.63,11.99,3.86E-09,0.182364369,2,23,0,0.778503815,0.701418701,4.316376117
getting,1,4,0.840937631,1.157204,546,11.99,14.95,10.71,3.96E-09,0.316266369,3,23,1,4.741686943,5.155568966,5.445582977
somewhere,1,4,1.126349631,1.573746,547,10.71,11.99,11.27,3.65E-09,0.447396369,4,23,0,4.228648368,3.637296224,4.533473293
near,1,4,1.542891631,1.803734,548,11.27,10.71,16.96,3.86E-09,0.260842369,5,23,0,1.952532998,2.601069778,2.982295526
the,1,4,1.772879631,1.875571,549,16.96,11.27,11.38,3.95E-09,0.102691369,6,23,0,1.5749095,1.417107038,4.168720198
center,1,4,1.844716631,2.282646,550,11.38,16.96,16.21,3.96E-09,0.437929369,7,23,1,0.824339779,0.77919786,4.65745792
of,1,4,2.251791631,2.378428,551,16.21,11.38,16.96,3.73E-09,0.126636369,8,23,0,1.877723178,2.093525268,2.12276748
the,1,4,2.347573631,2.516052,552,16.96,16.21,11.03,3.38E-09,0.168478369,9,23,0,1.551038125,1.539936881,4.860254947
earth,1,4,2.485197631,2.77353,553,11.03,16.96,13.87,3.61E-09,0.288332369,10,23,1,0.824339779,0.83952012,4.255688105
Let,1,4,3.125805631,3.384143,554,13.87,11.03,14.08,3.62E-09,0.258337369,1,24,1,3.519682474,3.555954666,2.841725276
me,1,4,3.353288631,3.50387,555,14.08,13.87,13.27,4.30E-09,0.150581369,2,24,0,2.196993687,2.298576495,2.38605695
see,1,4,3.473015631,3.839109,556,13.27,14.08,15.48,4.00E-09,0.366093369,3,24,1,4.165631392,2.593456103,2.859884442
that,1,4,3.808254631,4.021689,557,15.48,13.27,14.06,3.67E-09,0.213434369,4,24,0,3.598378951,3.511340379,5.032986789
would,1,4,3.990834631,4.186319,558,14.06,15.48,14.95,3.39E-09,0.195484369,5,24,0,6.67388642,9.037091819,4.081971892
be,1,4,4.155464631,4.66304,559,14.95,14.06,11.35,4.31E-09,0.507575369,6,24,0,0.323371429,1.17711469,3.754355148
four,1,4,4.632185631,5.108224,560,11.35,14.95,9.7,3.52E-09,0.476038369,7,24,1,6.995083647,6.5086313,4.798361821
thousand,1,4,5.077369631,5.491353,561,9.7,11.35,10.48,3.52E-09,0.413983369,8,24,1,4.518619472,6.77353961,5.769443818
miles,1,4,5.460498631,5.934347,562,10.48,9.7,12.59,4.50E-09,0.473848369,9,24,1,2.059176856,3.783495816,5.428075834
down,1,4,5.903492631,6.29353,563,12.59,10.48,15.79,3.77E-09,0.390037369,10,24,0,2.908334759,3.753551925,3.071785025
I,1,4,6.262675631,6.37734,564,15.79,12.59,13.39,3.90E-09,0.114664369,11,24,0,3.438461333,3.910230258,2.604778553
think,1,4,6.346485631,6.796387,565,13.39,15.79,15.42,3.73E-09,0.449901369,12,24,1,2.179779455,2.27564729,2.407084757
for,1,4,7.172607631,7.284138,566,15.42,13.39,15.43,4.12E-09,0.111530369,13,24,0,4.276450914,3.721303802,3.017422209
you,1,4,7.253283631,7.419414,567,15.43,15.42,13.27,3.54E-09,0.166130369,14,24,0,1.723907941,1.866310438,2.12338263
see,1,4,7.388559631,7.730265,568,13.27,15.43,8.65,3.93E-09,0.341705369,15,24,1,3.214437146,2.969958353,2.508379159
Alice,1,4,7.699410631,8.125367,569,8.65,13.27,13.53,3.85E-09,0.425956369,16,24,1,5.112945627,4.928636673,3.427079975
had,1,4,8.094512631,8.281013,570,13.53,8.65,8.86,3.57E-09,0.186500369,17,24,0,3.813606672,2.393853979,1.417333226
learnt,1,4,8.250158631,8.496523,571,8.86,13.53,12.05,3.83E-09,0.246364369,18,24,1,4.553665813,4.64433777,4.183641202
several,1,4,8.465668631,8.891626,572,12.05,8.86,12.48,3.89E-09,0.425957369,19,24,1,5.861508904,4.838071774,4.94890333
things,1,4,8.860771631,9.250809,573,12.48,12.05,16.21,3.76E-09,0.390037369,20,24,1,1.965342353,3.699086557,4.91376652
of,1,4,9.219954631,9.370537,574,16.21,12.48,14.99,3.65E-09,0.150582369,21,24,0,2.141374645,2.168889309,2.262956634
this,1,4,9.339682631,9.59802,575,14.99,16.21,11.28,3.68E-09,0.258337369,22,24,0,1.565345669,1.509547508,4.950290714
sort,1,4,9.567165631,9.825503,576,11.28,14.99,15.9,4.24E-09,0.258337369,23,24,1,0.824339779,0.857324724,4.371030727
in,1,4,9.794648631,9.957204,577,15.9,11.28,13.3,3.36E-09,0.162555369,24,24,0,1.877723178,2.10656938,2.117579253
her,1,4,9.926349631,10.11285,578,13.3,15.9,12.24,3.92E-09,0.186500369,25,24,0,3.588512825,3.609602259,7.86737426
lessons,1,4,10.08199563,10.541302,579,12.24,13.3,15.9,3.61E-09,0.45930637,26,24,1,2.040122276,2.61882199,4.500732032
in,1,4,10.51044763,10.639653,580,15.9,12.24,16.96,3.55E-09,0.12920537,27,24,0,2.771962967,2.62872762,2.136426668
the,1,4,10.60879863,10.759381,581,16.96,15.9,11.69,3.69E-09,0.15058237,28,24,0,1.565345669,1.600263688,3.820669684
school,1,4,10.72852663,11.144672,582,11.69,16.96,11.35,3.59E-09,0.41614537,29,24,1,0.824339779,0.815117334,3.253712514
room,1,4,11.11381763,11.405911,583,11.35,11.69,16.19,3.81E-09,0.29209337,30,24,1,0,0,0
and,1,4,11.74621363,11.98543,584,16.19,11.35,12.2,4.06E-09,0.23921637,31,24,0,3.148749339,2.806504776,8.73488039
though,1,4,11.95457563,12.094734,585,12.2,16.19,14.99,3.78E-09,0.14015837,32,24,0,3.817725863,4.379254306,2.405499286
this,1,4,12.06387963,12.315843,586,14.99,12.2,14.56,3.96E-09,0.25196337,33,24,0,1.470929829,1.506790377,3.664990976
was,1,4,12.28498863,12.471489,587,14.56,14.99,14.77,3.51E-09,0.18650037,34,24,0,6.938079361,5.844675194,1.895208588
not,1,4,12.44063463,12.67548,588,14.77,14.56,16.18,3.99E-09,0.23484537,35,24,0,2.701883572,2.850916631,4.139332884
a,1,4,12.64462563,12.782782,589,16.18,14.77,13.28,3.71E-09,0.13815637,36,24,0,4.126598737,4.090237401,3.83768217
very,1,4,12.75192763,13.273666,590,13.28,16.18,13.35,3.70E-09,0.52173837,37,24,1,2.259239975,2.179120821,4.615533025
good,1,4,13.24281163,13.504104,591,13.35,13.28,10.93,4.52E-09,0.26129237,38,24,1,3.237331874,3.708983446,4.390179849
opportunity,1,4,13.47324963,14.267408,592,10.93,13.35,15.42,3.72E-09,0.79415837,39,24,1,0.705457938,0.964823719,4.095255817
for,1,4,14.23655363,14.447,593,15.42,10.93,10.12,4.35E-09,0.21044637,40,24,0,2.119439953,1.981337798,2.220135938
showing,1,4,14.41614563,14.887853,594,10.12,15.42,12.65,4.08E-09,0.47170737,41,24,1,4.029100148,4.538880859,3.511670676
off,1,4,14.85699863,15.057612,595,12.65,10.12,13.3,4.48E-09,0.20061337,42,24,0,3.975451009,5.41558729,6.709921593
her,1,4,15.11056663,15.225231,596,13.3,12.65,11.34,3.68E-09,0.11466437,43,24,0,3.416470169,5.830397172,7.556976603
knowledge,1,4,15.19437663,15.787952,597,11.34,13.3,14.79,3.71E-09,0.59357537,44,24,1,0.67951368,0.549328992,3.847780605
as,1,4,15.75709763,15.967544,598,14.79,11.34,14.09,3.90E-09,0.21044637,45,24,0,2.822781823,2.032595208,2.147935098
there,1,4,15.93668963,16.12319,599,14.09,14.79,14.56,4.11E-09,0.18650037,46,24,0,7.466133051,8.027769553,4.754324973
was,1,4,16.09233563,16.302782,600,14.56,14.09,13.96,3.67E-09,0.21044637,47,24,0,0.503943136,2.423989458,1.8978115
no,1,4,16.27192763,16.470401,601,13.96,14.56,14.17,3.66E-09,0.19847337,48,24,0,0.912174879,2.122842966,4.404790963
one,1,4,16.43954663,16.614075,602,14.17,13.96,16.35,3.84E-09,0.17452837,49,24,0,1.504428152,1.252649314,4.132935218
to,1,4,16.58322063,16.803322,603,16.35,14.17,10.43,3.53E-09,0.22010137,50,24,0,5.33318946,5.17705734,3.126498602
listen,1,4,16.77246763,17.116932,604,10.43,16.35,16.35,4.17E-09,0.34446437,51,24,1,0.66195729,0.834380082,2.410905977
to,1,4,17.08607763,17.320621,605,16.35,10.43,13.3,3.81E-09,0.23454337,52,24,0,5.197854109,4.46160503,4.481080081
her,1,4,17.28976663,17.595843,606,13.3,16.35,12.8,4.00E-09,0.30607637,53,24,0,3.171368348,2.961853342,1.567252109
still,1,4,18.00798163,18.345075,607,12.8,13.3,15.37,3.31E-09,0.33709337,1,25,0,3.049805711,4.112138379,3.26712153
it,1,4,18.31422063,18.457884,608,15.37,12.8,14.56,3.95E-09,0.14366337,2,25,0,5.33641173,4.008797431,2.416372674
was,1,4,18.42702963,18.649449,609,14.56,15.37,13.35,3.71E-09,0.22241937,3,25,0,1.450426889,1.805643855,1.601484421
good,1,4,18.61859463,18.82904,610,13.35,14.56,10.7,4.17E-09,0.21044537,4,25,1,5.069926658,5.33014074,4.811084279
practice,1,4,18.79818563,19.34387,611,10.7,13.35,16.35,3.74E-09,0.54568437,5,25,1,3.07673326,2.368099449,3.886184006
to,1,4,19.31301563,19.415914,612,16.35,10.7,12.79,3.65E-09,0.10289837,6,25,0,4.70441491,4.654066481,3.178731773
say,1,4,19.38505963,19.704613,613,12.79,16.35,15.37,3.62E-09,0.31955337,7,25,1,0.66195729,0.806692542,2.303530638
it,1,4,19.67375863,19.816081,614,15.37,12.79,13.02,3.92E-09,0.14232237,8,25,0,2.653519621,2.331118854,1.773530955
over,1,4,19.78522663,20.181966,615,13.02,15.37,12.19,3.51E-09,0.39673937,9,25,0,4.066106427,6.884506021,5.6356007
yes,1,4,20.63002263,20.94551,616,12.19,13.02,15.48,0.0083014,0.31548737,1,26,0,6.013387457,7.988105042,6.550499839
that,1,4,21.12090763,21.397299,617,15.48,12.19,15.68,0.0051777,0.27639137,2,26,0,1.059176842,3.15121156,3.329847582
s,1,4,21.36644463,21.463054,618,15.68,15.48,14.08,0.00025722,0.09660937,3,26,0,1.228645003,6.64549169,2.797588833
about,1,4,21.43219963,21.750401,619,14.08,15.68,16.96,0.0048753,0.31820137,4,26,0,4.187722214,3.323838044,3.169490866
the,1,4,21.71954663,21.846183,620,16.96,14.08,12.87,0.00068065,0.12663637,5,26,0,1.68949941,1.376157143,4.385101308
right,1,4,21.81532863,22.145503,621,12.87,16.96,10.3,0.00020265,0.33017437,6,26,0,2.414520182,2.738288671,4.43366653
distance,1,4,22.11464863,22.768088,622,10.3,12.87,14.57,0.012936,0.65343937,7,26,1,0.515633001,0.763868258,3.796180931
but,1,4,23.18022663,23.3787,623,14.57,10.3,13.47,0.0025094,0.19847337,8,26,0,3.281191291,3.05649708,8.724727695
then,1,4,23.34784563,23.541617,624,13.47,14.57,15.79,0.0045236,0.19377137,9,26,0,3.387104324,3.317883835,3.661519401
I,1,4,23.51076263,23.681222,625,15.79,13.47,10.86,0.0088782,0.17045937,10,26,0,2.205315117,3.595441074,1.763265489
wonder,1,4,23.65036763,24.037204,626,10.86,15.79,14.1,0.010988,0.38683637,11,26,1,2.179779455,2.264189763,2.446104509
what,1,4,24.00634963,24.207983,627,14.1,10.86,7.96,9.84E-05,0.20163337,12,26,0,4.672391523,6.733048326,4.737616484
Latitude,1,4,24.17712863,24.85268,628,7.96,14.1,14.78,0.0034858,0.67555137,13,26,1,5.307112324,5.417586896,3.289111874
or,1,4,24.82182563,24.971081,629,14.78,7.96,6.95,0.001102,0.14925537,14,26,0,5.229113453,5.18799901,8.830989565
Longitude,1,4,24.94022663,25.608846,630,6.95,14.78,15.79,0.0021008,0.66861937,15,26,1,3.64415512,4.219297373,2.257759963
I,1,4,25.57799163,25.740262,631,15.79,6.95,14.92,0.0048482,0.16227037,16,26,0,2.171368333,2.580784913,1.721709609
ve,1,4,25.70940763,25.809177,632,14.92,15.79,12.61,9.08E-06,0.09976937,17,26,0,4.165631392,2.798094185,2.422391059
got,1,4,25.77832263,26.145221,633,12.61,14.92,16.35,0.00053058,0.36689837,18,26,1,3.598378951,4.590211329,4.061073122
to,1,4,26.11436663,26.464474,634,16.35,12.61,8.65,0.0027197,0.35010737,19,26,0,2.808799828,3.78352045,4.799542611
Alice,1,4,27.16716563,27.621991,635,8.65,16.35,13.53,3.59E-06,0.45482537,20,26,1,3.226499067,4.178592411,2.312348154
had,1,4,27.59113663,27.79666,636,13.53,8.65,14.77,0.00016349,0.20552337,1,27,0,0.905228728,1.814998139,1.357460372
no,1,4,28.00526063,28.385632,637,14.77,13.53,16.96,0.00015939,0.38037137,2,27,0,2.610251508,2.064105269,5.625717829
idea,1,4,28.35477763,28.718564,640,11.8,8.06,14.1,0.0031293,0.36378637,3,27,1,1.504428152,1.445077886,4.733433761
what,1,4,28.68770963,28.874211,641,14.1,11.8,7.24,0.0012287,0.18650137,4,27,0,6.470684078,7.03667693,4.618609444
Latitude,1,4,28.84335663,29.436932,642,7.24,14.1,14.56,0.0026943,0.59357537,5,27,1,5.451483319,4.831116885,2.501056399
was,1,4,29.40607763,29.867952,643,14.56,7.24,14.78,0.00041833,0.46187437,6,27,0,2.059176856,1.728209907,1.333445465
or,1,4,30.17233563,30.346864,644,14.78,14.56,6.95,0.00048287,0.17452837,7,27,0,5.669136048,6.234269739,8.685659421
Longitude,1,4,30.31600963,30.921557,645,6.95,14.78,12.17,0.0013651,0.60554737,8,27,1,6.644155163,7.214374125,2.442447051
either,1,4,30.89070263,31.352578,646,12.17,6.95,14.57,0.011087,0.46187537,9,27,0,1.602773833,3.24794818,4.096989795
but,1,4,31.93233563,32.118836,647,14.57,12.17,13.1,0.0012685,0.18650037,10,27,0,7.978042171,4.168898197,8.614566619
thought,1,4,32.08798163,32.346319,649,12.07,13.1,14.3,8.81E-05,0.25833737,11,27,1,2.382872173,3.803426997,1.812058375
they,1,4,32.31546463,32.466047,650,14.3,12.07,13.41,0.0002468,0.15058237,12,27,0,3.162907397,3.372376429,1.955837267
were,1,4,32.43519263,32.585775,651,13.41,14.3,11.64,0.00043542,0.15058237,13,27,0,2.782802419,2.238873594,1.438500163
nice,1,4,32.55492063,32.921013,652,11.64,13.41,10.01,0.013572,0.36609237,14,27,1,5.069926658,5.229228113,5.120443546
grand,1,4,32.89015863,33.268224,653,10.01,11.64,11.51,0.00052213,0.37806537,15,27,1,4.67807202,3.250902335,4.365787736
words,1,4,33.27328863,33.735798,654,11.51,10.01,16.35,9.79E-07,0.46250937,16,27,1,2.200222601,3.439372686,5.035195039
to,1,4,33.70494363,33.84402,655,16.35,11.51,12.79,4.74E-07,0.13907637,17,27,0,4.311297939,5.088889708,3.234157305
say,1,4,33.81316563,34.238853,656,12.79,16.35,8.85,0.0038942,0.42568737,18,27,1,0.503943136,0.837330876,2.074803726
Presently,1,4,35.16498863,35.650809,657,8.85,12.79,13.1,0.015392,0.48582037,1,28,1,3.875029123,3.928599326,2.937781698
she,1,4,35.61995463,35.890265,658,13.1,8.85,10.61,7.60E-07,0.27031037,2,28,0,1.510457451,3.028885977,0.876986993
began,1,4,35.85941063,36.29734,659,10.61,13.1,12.43,0.00023085,0.43792937,3,28,1,1.450426889,1.606446731,1.29799908
again,1,4,36.26648563,36.788224,660,12.43,10.61,15.79,0.0099424,0.52173837,4,28,1,2.449772483,2.193157086,4.954996984
I,1,4,37.59546463,37.762944,661,15.79,12.43,10.86,0.0040673,0.16747937,5,28,0,2.088240405,1.833490313,0.720338115
wonder,1,4,37.73208963,38.159034,662,10.86,15.79,14.65,0.00040925,0.42694437,6,28,1,1.628449015,2.11248521,2.272201031
if,1,4,38.12817963,38.272667,663,14.65,10.86,15.79,0.00070922,0.14448737,7,28,0,4.276450914,3.877076171,5.531455753
I,1,4,38.24181263,38.4314,664,15.79,14.65,11,0.00027869,0.18958737,8,28,0,1.723907941,1.835385723,1.76382541
shall,1,4,38.40054563,38.739789,665,11,15.79,10.74,2.18E-07,0.33924337,9,28,0,3.150307324,3.015898642,4.026477952
fall,1,4,38.79274363,39.146864,666,10.74,11,12.87,3.49E-07,0.35412037,10,28,1,0.778503815,0.961495885,3.439476858
right,1,4,39.11600963,39.386319,667,12.87,10.74,12.63,4.42E-07,0.27030937,11,28,1,4.393748195,5.757760285,3.260575932
through,1,4,39.35546463,39.913122,668,12.63,12.87,16.96,3.16E-06,0.55765737,12,28,1,6.451483334,5.84166711,2.798256753
