Order,praatword,distance,surprisal
286,like,13,7.583530
287,a,8,2.112773
288,tunnel,13,9.513070
289,for,13,4.141915
290,some,11,5.112657
291,way,15,6.093202
292,and,15,2.918903
293,then,9,4.220418
294,dipped,14,8.512262
295,suddenly,11,8.243841
296,down,12,5.342242
297,so,12,7.847479
298,suddenly,10,6.569515
299,that,13,3.033481
300,alice,10,10.656357
301,had,15,2.917748
302,not,15,3.580032
303,a,9,6.929650
304,moment,17,6.876176
305,to,13,1.699176
306,think,19,5.039306
307,about,18,1.286174
308,stopping,21,9.372106
309,herself,23,6.380622
310,before,24,5.596478
311,she,24,2.188569
312,found,26,5.752706
313,herself,26,3.005277
314,falling,27,7.517576
315,down,28,3.912190
320,a,12,4.213143
321,very,30,6.302723
322,deep,9,5.333668
323,well,31,8.627621
324,either,9,9.196486
325,the,7,2.864468
326,well,9,8.775614
327,was,11,5.927569
328,very,11,5.337266
329,deep,12,6.209727
330,or,12,4.125728
331,she,12,8.091014
332,fell,15,5.807889
333,very,15,7.145482
334,slowly,13,4.058675
335,for,13,4.730157
336,she,13,6.777119
337,had,15,2.947397
338,plenty,15,6.862901
339,of,15,0.263433
340,time,17,3.393050
341,as,14,5.092452
342,she,16,2.002669
343,went,20,4.208062
344,down,20,4.116214
345,to,17,1.990861
346,look,19,6.673400
347,about,19,6.660664
348,her,18,2.576518
349,and,22,4.820804
350,to,9,2.210851
351,wonder,22,10.746710
352,what,23,5.218666
353,was,26,3.106193
354,going,27,1.871468
355,to,14,1.682361
356,happen,30,0.161110
357,next,31,5.596474
358,first,9,7.413506
359,she,11,4.534204
360,tried,10,6.204359
361,to,13,0.189211
362,look,13,6.250039
363,down,14,5.116690
364,and,15,2.116010
365,make,9,3.940240
366,out,15,7.900277
367,what,16,4.508174
368,she,17,1.776011
369,was,18,3.131013
370,coming,18,7.989859
371,to,15,1.534761
372,but,20,4.166429
373,it,9,4.031676
374,was,10,0.945296
375,too,18,4.864243
376,dark,12,4.823359
377,to,12,1.277832
378,see,15,2.979289
379,anything,16,5.703966
380,then,17,8.502807
381,she,16,3.693211
382,looked,13,4.739284
383,at,11,1.641387
384,the,7,1.717102
385,sides,13,8.602815
386,of,13,1.080613
387,the,9,0.350140
388,well,15,10.313331
389,and,15,3.691973
390,noticed,9,7.306146
391,that,16,1.915866
392,they,13,3.366926
393,were,15,1.039676
394,filled,16,8.177397
395,with,16,0.348245
396,cupboards,7,2.993134
397,and,18,2.032241
398,book-shelves,7,1.992060
399,here,19,8.470900
400,and,20,3.409713
401,there,9,1.986659
402,she,19,4.962090
403,saw,11,5.251481
404,maps,11,13.057883
405,and,12,2.333070
406,pictures,12,3.613119
407,hung,13,9.510220
409,on,13,5.855083
410,pegs,10,4.364207
411,she,9,5.052103
412,took,11,5.369548
413,down,9,6.073271
414,a,8,2.196046
415,jar,12,8.516611
416,from,12,3.990646
417,one,9,4.795109
418,of,14,0.870237
419,the,7,0.639455
420,shelves,15,9.260983
421,as,16,5.232459
422,she,10,1.655408
423,passed,17,4.854526
424,it,16,3.943068
425,was,18,6.024791
426,labelled,15,12.405262
427,orange,13,10.552705
428,marmalade,9,2.730697
429,but,16,4.425583
430,to,9,6.886241
431,her,16,3.993762
432,great,17,7.402844
433,disappointment,17,5.738730
434,it,16,2.872217
435,was,14,0.768871
436,empty,12,8.637681
437,she,12,7.358548
438,did,15,3.779062
439,not,15,1.551911
440,like,15,4.454076
441,to,16,1.244350
442,drop,18,6.707902
443,the,11,2.509572
444,jar,20,9.317122
445,for,20,4.706169
446,fear,20,7.376231
447,of,21,2.056521
448,killing,22,5.973339
449,somebody,24,6.386200
451,so,22,6.434672
453,managed,25,14.192174
454,to,18,1.199277
455,put,25,4.826494
456,it,23,2.096441
457,into,27,3.141194
458,one,12,5.933178
459,of,27,1.394751
460,the,8,0.608920
461,cupboards,5,2.340678
462,as,15,6.285713
463,she,17,2.243728
464,fell,21,5.119643
465,past,21,5.456542
466,it,22,4.063673
467,well,9,8.168231
468,thought,9,12.238626
469,alice,11,11.412164
470,to,13,5.108138
471,herself,14,9.553644
472,after,13,6.459889
473,such,14,7.691516
474,a,8,0.937935
475,fall,13,6.165117
476,as,13,4.115222
477,this,14,7.172204
478,i,15,8.281967
479,shall,16,8.423041
480,think,18,4.985800
481,nothing,19,8.943286
482,of,21,4.244783
483,tumbling,20,15.119338
484,down,17,4.065199
485,stairs,18,11.004988
486,how,9,6.702081
487,brave,11,10.725432
488,they,10,4.328778
489,'ll,13,5.772548
490,all,12,6.138025
491,think,13,4.253498
492,me,14,7.955718
493,at,13,5.084686
494,home,14,3.316952
495,why,9,7.161859
496,i,11,5.247214
497,would,12,3.817844
498,n't,12,1.390504
499,say,12,2.647813
500,anything,13,3.774359
501,about,14,1.969120
502,it,15,1.729938
503,even,16,6.737113
504,if,11,0.669512
505,i,9,1.179120
506,fell,17,6.902751
507,off,16,3.833712
508,the,12,1.733128
509,top,18,4.853772
510,of,19,1.711305
511,the,9,0.575013
512,house,19,5.896809
513,which,9,8.481506
514,was,11,2.956833
515,very,12,5.674553
516,likely,13,5.702022
517,true,14,8.474944
518,down,9,10.074752
519,down,11,7.194982
520,down,11,6.910571
521,would,9,8.463943
522,the,7,2.192421
523,fall,10,8.734162
524,never,11,7.296139
525,come,11,3.347522
526,to,11,2.265952
527,an,13,3.689616
528,end,13,0.357652
529,i,9,3.636761
530,wonder,11,7.103999
531,how,11,2.099084
532,many,13,2.360935
533,miles,14,5.537490
534,i,13,2.142324
535,'ve,14,2.873231
536,fallen,16,7.236456
537,by,15,4.617196
538,this,16,4.813481
539,time,17,2.619046
540,she,9,5.052103
541,said,11,2.067306
