Order,praatword,distance
1,alice,14.779698
2,was,4.044680
3,beginning,5.293210
4,to,0.220671
5,get,3.148003
6,very,7.768575
7,tired,7.957665
8,of,0.723263
9,sitting,10.507539
10,by,6.188073
11,her,3.797765
12,sister,7.748385
13,on,5.560535
14,the,0.488383
15,bank,5.915475
16,and,3.114718
17,of,6.174419
18,having,7.448883
19,nothing,7.951990
20,to,2.229844
21,do,3.109596
22,once,8.051552
23,or,4.648012
24,twice,5.489234
25,she,2.188452
26,had,2.482031
27,peeped,8.887130
28,into,3.315270
29,the,0.529569
30,book,9.541262
31,her,6.721509
32,sister,8.462628
33,was,3.717177
34,reading,7.846554
35,but,4.945704
36,it,3.302754
37,had,3.297777
38,no,5.307233
39,pictures,11.244164
40,or,4.321159
41,conversations,10.465158
42,in,3.203094
43,it,3.925544
44,and,3.455259
45,what,5.606396
46,is,4.343595
47,the,1.854500
48,use,2.120270
49,of,0.809236
50,a,2.389989
51,book,6.802922
52,thought,12.050936
53,alice,15.775514
54,without,7.517490
55,pictures,8.823668
56,or,3.846707
57,conversations,11.010475
58,so,5.138149
59,she,1.566174
60,was,3.437921
61,considering,8.179562
62,in,4.492352
63,her,2.803870
64,own,2.690724
65,mind,5.850441
66,as,3.365181
67,well,3.663582
68,as,0.195385
69,she,1.039164
70,could,2.622768
71,for,6.318386
72,the,1.914520
73,hot,9.777020
74,day,6.607802
75,made,9.078485
76,her,2.388315
77,feel,1.856356
78,very,3.586192
79,sleepy,9.886946
80,and,3.282480
81,stupid,7.288047
82,whether,9.119086
83,the,3.146336
84,pleasure,8.413229
85,of,1.532038
86,making,6.327723
87,a,3.952857
89,chain,6.487394
90,would,4.706851
91,be,1.673743
92,worth,6.316566
93,the,2.875048
94,trouble,6.316602
95,of,2.577059
96,getting,5.604503
97,up,3.134601
98,and,3.401269
99,picking,9.676225
100,the,2.177790
101,daisies,12.548289
102,when,5.968267
103,suddenly,8.168900
104,a,5.321520
105,white,7.974230
106,rabbit,10.258451
107,with,3.861331
108,pink,7.212633
109,eyes,3.868621
110,ran,7.646932
111,close,7.732260
112,by,6.272832
113,her,2.153380
114,there,3.932845
115,was,1.310323
116,nothing,2.842758
117,so,3.907948
118,very,5.554585
119,remarkable,9.758083
120,in,1.864626
121,that,3.627537
122,nor,8.889894
123,did,7.242568
124,alice,15.825503
125,think,9.782877
126,it,5.000183
127,so,5.242103
128,very,5.370512
129,much,1.927946
130,out,8.011444
131,of,0.988489
132,the,1.050519
133,way,3.058765
134,to,3.290206
135,hear,5.227159
136,the,0.878017
137,rabbit,10.352278
138,say,7.925708
139,to,3.881783
140,itself,8.772203
141,oh,9.352919
142,dear,6.458390
143,oh,5.031639
144,dear,5.154912
145,i,2.495622
146,shall,3.720030
149,late,6.457763
150,when,4.727801
151,she,1.633683
152,thought,5.683576
153,it,2.441098
154,over,6.836568
155,afterwards,7.863552
156,it,4.205622
157,occurred,5.806537
158,to,0.363470
159,her,0.258939
160,that,0.951487
161,she,1.794175
162,ought,4.967134
163,to,0.272621
164,have,2.253421
165,wondered,8.383188
166,at,5.863620
167,this,4.603239
168,but,6.368808
169,at,5.445236
170,the,1.529127
171,time,2.181018
172,it,4.530926
173,all,6.642378
174,seemed,1.629382
175,quite,5.265254
176,natural,5.316218
177,but,5.062799
