Order,praatword,distance
349,and,2.105295
350,to,3.460322
351,wonder,4.781538
352,what,1.657888
353,was,2.070109
354,going,1.465741
355,to,1.066000
356,happen,0.059437
357,next,1.348911
358,first,7.724900
359,she,2.326924
360,tried,5.053398
361,to,0.258272
362,look,4.218349
363,down,3.719596
364,and,3.375702
365,make,4.986435
366,out,3.632472
367,what,1.608339
368,she,1.207967
369,was,1.796938
370,coming,5.714222
371,to,1.220253
372,but,3.494250
373,it,3.005695
374,was,0.587315
375,too,3.330224
376,dark,3.195512
377,to,1.178699
378,see,1.836231
379,anything,2.794115
380,then,7.591158
381,she,2.442190
382,looked,4.103806
383,at,1.567032
384,the,1.499262
385,sides,11.466576
386,of,0.362696
387,the,0.381298
388,well,8.217840
389,and,3.401550
390,noticed,7.108911
391,that,0.967379
392,they,3.441580
393,were,0.491552
394,filled,7.470279
395,with,0.191204
396,cupboards,10.656879
397,and,0.653175
398,book-shelves,4.949529
399,here,8.689828
400,and,0.436905
401,there,0.047047
402,she,5.338112
403,saw,2.993608
404,maps,11.911404
405,and,1.219975
406,pictures,2.705538
407,hung,6.038586
409,on,3.017447
410,pegs,7.995014
411,she,2.396486
412,took,4.833585
413,down,4.600319
414,a,2.389246
415,jar,6.861874
416,from,3.877642
417,one,3.368773
418,of,0.950138
419,the,0.279314
420,shelves,5.257688
421,as,4.936706
422,she,1.038671
423,passed,3.294825
424,it,2.291670
425,was,4.210285
426,labelled,9.162796
427,orange,11.082548
428,marmalade,6.764314
429,but,4.753587
430,to,5.792412
431,her,2.119143
432,great,4.225827
433,disappointment,6.557096
434,it,2.960858
435,was,0.756371
436,empty,7.675748
437,she,4.638204
438,did,2.977248
439,not,0.220018
440,like,4.127479
441,to,1.333079
442,drop,5.721200
443,the,2.276283
444,jar,4.698945
445,for,3.514284
446,fear,3.829510
447,of,0.803703
448,killing,9.486187
449,somebody,6.091110
451,so,5.198119
453,managed,10.823274
454,to,0.459276
455,put,3.174545
456,it,1.271866
457,into,1.925483
458,one,5.098120
459,of,1.539340
460,the,0.717455
461,cupboards,7.591080
462,as,3.701891
463,she,1.075889
464,fell,5.835127
465,past,8.723873
466,it,2.007848
467,well,4.960092
468,thought,9.696665
469,alice,8.706285
470,to,5.099838
471,herself,1.270088
472,after,5.665030
473,such,5.455664
474,a,0.314159
475,fall,8.672120
476,as,3.153046
477,this,1.835324
478,i,5.575544
479,shall,3.239678
480,think,4.656996
481,nothing,5.744313
482,of,0.901485
483,tumbling,15.142023
484,down,2.045034
485,stairs,4.666246
486,how,5.181211
487,brave,7.954146
488,they,3.420408
489,'ll,5.106288
490,all,4.382498
491,think,4.004625
492,me,4.050237
493,at,5.701151
494,home,1.702615
495,why,5.100310
496,i,3.243441
497,would,4.149765
498,n't,0.625765
499,say,3.830036
500,anything,1.160259
501,about,1.073484
502,it,0.802919
503,even,6.016812
504,if,0.429657
505,i,1.129181
506,fell,8.047441
507,off,4.640329
508,the,2.700661
509,top,5.504010
510,of,0.479013
511,the,0.989441
512,house,3.731218
513,which,7.806263
514,was,1.976398
515,very,3.961104
516,likely,6.306515
517,true,5.072889
518,down,8.049345
519,down,5.255423
520,down,4.677217
521,would,6.630589
522,the,3.858216
523,fall,10.315129
524,never,5.717553
525,come,2.882264
526,to,2.180687
527,an,3.251524
528,end,0.025227
529,i,2.498468
530,wonder,4.382803
531,how,2.796061
532,many,2.718876
533,miles,5.141407
534,i,2.554541
535,'ve,1.929265
536,fallen,7.008603
537,by,6.362093
538,this,2.884980
539,time,0.253174
540,she,2.396488
541,said,4.367265
542,aloud,6.882095
543,i,2.498468
544,must,4.390100
545,be,2.762747
546,getting,3.373587
547,somewhere,6.065268
548,near,3.338985
549,the,1.300526
550,centre,7.445106
551,of,0.895633
552,the,0.490622
553,earth,4.137175
554,let,6.277506
555,me,1.015547
556,see,2.059982
557,that,2.446585
558,would,7.574836
559,be,1.468819
560,four,7.240864
561,thousand,3.500957
562,miles,3.578403
563,down,4.731976
564,i,5.348726
565,think,3.299791
566,for,5.878862
567,you,2.991470
568,see,4.109958
569,alice,9.292160
570,had,4.473987
571,learnt,8.781063
572,several,6.730258
573,things,1.381884
574,of,3.763876
575,this,3.369464
576,sort,0.896605
577,in,3.095791
578,her,2.725316
579,lessons,10.475753
580,in,3.902895
581,the,1.568587
583,room,5.539744
584,and,1.706709
585,though,5.109558
586,this,5.752892
587,was,1.044123
588,not,1.794499
589,a,1.595096
590,very,2.256824
591,good,2.396986
592,opportunity,5.070354
593,for,0.968992
594,showing,7.602418
595,off,5.997124
596,her,2.439970
597,knowledge,7.182667
598,as,4.454971
599,there,6.540441
600,was,0.467180
601,no,2.205328
602,one,2.325331
603,to,1.724394
604,listen,6.452368
605,to,0.358158
606,her,1.569250
607,still,7.717904
608,it,3.422519
609,was,0.695549
610,good,6.060293
611,practice,5.443151
612,to,1.297453
613,say,4.029503
614,it,3.171619
615,over,6.100697
616,yes,9.356752
617,that,3.470961
618,'s,1.385277
619,about,5.365292
620,the,1.343384
621,right,4.752569
622,distance,11.768157
623,but,3.531944
624,then,5.167186
625,i,1.943630
626,wonder,5.693663
627,what,1.527748
628,latitude,15.765932
629,or,6.470785
630,longitude,17.923861
631,i,3.469748
632,'ve,2.478828
633,got,2.154922
634,to,1.023699
635,alice,8.369875
636,had,2.441511
637,no,3.978281
640,idea,2.005368
641,what,1.666307
642,latitude,15.269413
643,was,3.143782
644,or,5.236063
645,longitude,18.176071
646,either,5.668907
647,but,3.447052
649,thought,7.082476
650,they,5.658640
651,were,1.277506
652,nice,7.576227
653,grand,10.999988
654,words,6.398290
655,to,3.145782
656,say,3.666214
657,presently,7.099338
658,she,1.488563
659,began,3.504744
660,again,4.736506
661,i,2.498468
662,wonder,4.382803
663,if,0.871107
664,i,2.113335
665,shall,2.082104
666,fall,6.943701
667,right,4.785625
668,through,4.120016
669,the,1.290586
670,earth,5.864282
671,how,5.181210
672,funny,5.039968
673,it,1.449017
674,'ll,5.832883
675,seem,3.859791
676,to,0.943966
677,come,5.484596
678,out,2.757968
679,among,7.385614
680,the,1.574902
681,people,3.071880
682,that,2.997580
683,walk,8.791822
684,with,3.573380
685,their,4.498600
686,heads,3.592196
687,downward,9.119907
688,the,2.736911
689,antipathies,4.386727
690,i,6.163293
691,think,3.605220
692,she,3.049550
693,was,3.109667
694,rather,5.253392
695,glad,4.034859
696,there,5.348459
697,was,0.572538
698,no,2.825621
699,one,2.037073
700,listening,8.982962
701,this,7.558068
702,time,2.152594
703,as,4.678641
704,it,4.282249
705,did,2.923752
706,n't,3.063533
707,sound,3.135290
708,at,4.498388
709,all,0.131273
710,the,4.334979
711,right,4.564960
712,word,3.540111
713,but,3.570490
714,i,2.385108
715,shall,5.577176
716,have,2.343918
717,to,0.544050
718,ask,4.026134
719,them,4.619589
720,what,3.684584
721,the,3.795638
722,name,4.965000
723,of,1.368296
724,the,1.664413
725,country,4.367356
726,is,0.956954
727,you,7.626215
728,know,1.875122
729,please,7.460678
730,ma'am,4.645484
731,is,6.980952
732,this,4.248993
733,new,6.723872
734,zealand,8.646797
735,or,6.299406
736,australia,11.369919
737,and,3.246471
738,she,2.621218
739,tried,5.467337
740,to,0.227917
741,curtsey,12.109193
742,as,5.100141
743,she,1.490132
744,spoke,3.922983
745,fancy,10.769935
746,curtseying,13.805840
747,as,4.251809
748,you,5.829748
749,'re,4.613310
750,falling,6.429700
751,through,4.419180
752,the,1.300029
753,air,3.606894
754,do,5.043537
755,you,0.892023
756,think,1.584517
757,you,2.062469
758,could,2.297695
759,manage,4.171128
760,it,2.079040
761,and,3.246471
762,what,4.046387
763,an,4.738579
764,ignorant,6.073598
765,little,1.985142
766,girl,1.453241
767,she,1.996283
768,'ll,7.094041
769,think,3.828714
770,me,4.126560
771,for,4.587206
772,asking,8.680021
773,no,5.010455
774,it,3.387550
775,'ll,5.752576
776,never,3.007065
777,do,1.391485
778,to,1.263607
779,ask,5.336899
780,perhaps,9.163010
781,i,3.349960
782,shall,1.913008
783,see,3.806753
784,it,2.284353
785,written,9.940496
786,up,4.450467
787,somewhere,5.532415
788,down,8.049345
789,down,5.255423
790,down,4.677217
791,there,3.948738
792,was,0.874870
793,nothing,2.974258
794,else,3.343207
795,to,0.876831
796,do,1.027719
797,so,5.247293
798,alice,9.984520
799,soon,8.847406
800,began,3.913152
801,talking,5.434936
802,again,5.720258
803,dinah,12.659245
804,'ll,7.423059
805,miss,7.384850
806,me,2.315141
807,very,3.699196
808,much,0.525146
809,to-night,6.380769
810,i,3.398043
811,should,3.997957
812,think,2.390034
813,dinah,12.659245
814,was,2.002093
815,the,3.944520
816,cat,6.020578
817,i,2.498468
818,hope,4.411102
819,they,3.584570
820,'ll,1.739534
821,remember,6.096798
822,her,4.656379
823,saucer,17.023411
824,of,2.575437
825,milk,3.998816
826,at,4.009239
828,time,4.055559
829,dinah,12.659245
830,my,7.696628
831,dear,1.157652
832,i,2.498468
833,wish,4.134488
834,you,1.397333
835,were,2.931843
836,down,5.636358
837,here,2.600206
838,with,3.327651
839,me,1.064789
840,there,3.948738
841,are,3.069036
842,no,2.939083
843,mice,6.969452
844,in,1.967127
845,the,0.799324
846,air,5.658014
847,i,4.404646
848,'m,2.570800
849,afraid,1.169794
850,but,2.794995
851,you,3.003047
852,might,5.053192
853,catch,5.250855
854,a,2.602098
855,bat,8.500546
856,and,2.272387
857,that,4.842157
858,'s,1.438893
859,very,4.961046
860,like,5.686575
861,a,2.663690
862,mouse,4.319227
863,you,3.905578
864,know,2.151068
865,but,3.184577
866,do,5.012295
867,cats,13.903722
868,eat,5.291390
869,bats,14.133616
870,i,5.021343
871,wonder,4.550176
872,and,3.246471
873,here,5.243465
874,alice,9.430666
875,began,5.144417
876,to,0.544715
877,get,4.527138
878,rather,5.038082
879,sleepy,5.842032
880,and,1.892187
881,went,4.808353
882,on,1.752432
883,saying,5.219499
884,to,2.398436
885,herself,0.545883
886,in,4.264260
887,a,1.246191
888,dreamy,5.778885
889,sort,1.961285
890,of,0.027880
891,way,0.213484
892,do,3.792167
893,cats,14.307943
894,eat,5.560364
895,bats,14.078213
896,do,5.043537
897,cats,13.263640
898,eat,4.741424
899,bats,13.969343
900,and,3.246471
901,sometimes,6.632386
902,do,5.602985
903,bats,15.007286
904,eat,7.830935
905,cats,9.826395
906,for,4.958130
907,you,4.841186
908,see,2.768282
909,as,5.357058
910,she,3.334553
911,could,6.266521
912,n't,1.239292
913,answer,4.036969
914,either,6.023579
915,question,8.402182
916,it,5.937868
917,did,3.973049
918,n't,0.956800
919,much,7.018808
920,matter,0.135477
921,which,6.200407
922,way,2.270736
923,she,2.082458
924,put,5.047646
925,it,0.933723
926,she,2.396486
927,felt,3.848038
928,that,1.730345
929,she,0.996911
930,was,1.268280
931,dozing,10.050247
932,off,6.592454
933,and,2.499428
934,had,3.850943
935,just,5.193672
936,begun,3.739523
937,to,0.412636
938,dream,5.475769
939,that,2.427016
940,she,1.022061
941,was,1.127535
942,walking,5.758952
943,hand,10.424010
944,in,1.361612
945,hand,0.057774
946,with,2.761604
947,dinah,13.404078
949,was,1.972005
950,saying,7.838090
951,to,2.240490
952,her,1.089952
953,very,5.586823
954,earnestly,3.453644
955,now,5.014622
956,dinah,15.315315
957,tell,5.492958
958,me,0.283291
959,the,3.915922
960,truth,1.589691
961,did,7.136890
962,you,0.762259
963,ever,2.000536
964,eat,6.810685
965,a,2.516863
966,bat,10.507255
967,when,4.619394
968,suddenly,7.301622
969,thump,17.148170
970,thump,15.142294
971,down,8.049345
972,she,3.886480
973,came,3.685776
974,upon,5.211311
975,a,1.629441
976,heap,6.768027
977,of,0.123007
978,sticks,5.470297
979,and,1.343158
980,dry,9.535015
981,leaves,3.592009
982,and,1.646851
983,the,3.408213
984,fall,8.865129
985,was,3.220871
986,over,3.649240
987,alice,8.369875
988,was,2.098603
989,not,2.637320
990,a,2.749565
991,bit,2.242237
992,hurt,5.849504
993,and,3.260044
994,she,1.545405
995,jumped,7.934319
996,up,1.205359
997,onto,3.938589
998,her,2.205105
999,feet,2.264095
1000,in,3.574078
1001,a,1.040291
1002,moment,2.621260
1003,she,3.896556
1004,looked,4.044020
1005,up,1.776852
1006,but,5.035501
1007,it,4.205097
1008,was,0.508043
1009,all,4.422113
1010,dark,4.254030
1011,overhead,7.501455
1012,before,5.995457
1013,her,1.333420
1014,was,4.458591
1015,another,7.360506
1016,long,6.076122
1017,passage,5.819009
1018,and,2.939152
1019,the,2.308449
1020,white,5.013891
1021,rabbit,10.795828
1022,was,1.822252
1023,still,4.384629
1024,in,2.445854
1025,sight,2.462399
1026,hurrying,9.660967
1027,down,2.945000
1028,it,5.392542
1029,there,3.948738
1030,was,0.874872
1031,not,3.630743
1032,a,0.917665
1033,moment,3.424139
1034,to,1.677559
1035,be,2.174951
1036,lost,2.626652
1037,away,8.327949
1038,went,9.579365
1039,alice,11.229982
1040,like,8.073631
1041,the,2.157262
1042,wind,3.522035
1043,and,2.618698
1044,was,4.758470
1045,just,5.315762
1046,in,4.868313
1047,time,0.204298
1048,to,0.217333
1049,hear,3.383146
1050,it,3.531479
1051,say,6.923471
1052,as,4.356233
1053,it,3.550140
1054,turned,5.329803
1055,a,4.693041
1056,corner,2.844704
1057,oh,8.052752
1058,my,3.845257
1059,ears,5.689961
1060,and,2.925839
1061,whiskers,11.277923
1062,how,6.258385
1063,late,7.404573
1064,it,1.368122
1065,'s,3.906981
1066,getting,2.563298
1067,she,2.396486
1068,was,1.934383
1069,close,7.242073
1070,behind,4.178762
1071,it,4.180949
1072,when,4.089300
1073,she,0.791891
1074,turned,4.546007
1075,the,2.853508
1076,corner,1.419267
1077,but,4.752400
1078,the,2.844212
1079,rabbit,8.102383
1080,was,1.287936
1081,no,4.526262
1082,longer,0.508698
1083,to,4.325021
1084,be,0.906332
1085,seen,0.724625
1086,she,3.991414
1087,found,4.714281
1088,herself,1.344580
1089,in,2.517689
1090,a,0.958145
1091,long,5.007290
1092,low,3.740094
1093,hall,3.568199
1094,which,3.444202
1095,was,1.521383
1096,lit,7.198591
1097,up,0.965416
1098,by,1.759605
1099,a,1.301930
1100,row,6.129408
1101,of,0.086464
1102,lamps,5.838222
1103,hanging,7.025415
1104,from,3.145704
1105,the,0.627861
1106,roof,3.221921
1107,there,3.948738
1108,were,2.075396
1109,doors,7.692383
1110,all,6.171968
1111,round,2.587173
1112,the,0.689020
1113,hall,3.586349
1114,but,3.831914
1115,they,3.346810
1116,were,0.987907
1117,all,3.086275
1118,locked,5.022604
1119,and,1.645931
1120,when,4.979796
1121,alice,9.476208
1122,had,3.065571
1123,been,2.992662
1124,all,6.767786
1125,the,2.483517
1126,way,3.186934
1127,down,1.561954
1128,one,6.501612
1129,side,2.597736
1130,and,3.049875
1131,up,3.771669
1132,the,1.145859
1133,other,2.275623
1134,trying,8.300783
1135,every,8.351150
1136,door,4.238822
1137,she,2.180920
1138,walked,4.867104
1139,sadly,7.817665
1140,down,2.891829
1141,the,0.472807
1142,middle,7.113928
1143,wondering,11.817700
1144,how,3.692917
1145,she,1.446539
1146,was,2.384272
1147,ever,5.557289
1148,to,2.375989
1149,get,2.093142
1150,out,2.549986
1151,again,4.505985
1152,suddenly,6.640305
1153,she,1.498166
1154,came,4.366823
1155,upon,4.388181
1156,a,2.055511
1157,little,3.056921
1159,legged,4.899213
1160,table,4.986120
1161,all,6.065897
1162,made,5.939588
1163,of,2.271291
1164,solid,6.225302
1165,glass,2.825470
1166,there,7.540417
1167,was,1.430223
1168,nothing,3.670006
1169,on,4.357982
1170,it,1.523861
1171,except,3.444680
1172,a,2.230087
1173,tiny,4.068969
1174,golden,8.744633
1175,key,2.695718
1176,and,2.413145
1177,Alice's,2.945223
1178,first,6.376086
1179,thought,3.345695
1180,was,0.546389
1181,that,1.356010
1182,it,2.215283
1183,might,3.711154
1184,belong,6.920390
1185,to,0.189739
1186,one,3.759425
1187,of,0.615608
1188,the,0.550695
1189,doors,6.395969
1190,of,1.861450
1191,the,0.607901
1192,hall,5.208709
1193,but,4.874112
1194,alas,8.976265
1195,either,9.124033
1196,the,2.146783
1197,locks,12.904835
1198,were,2.128416
1199,too,4.599970
1200,large,3.491701
1201,or,0.734463
1202,the,2.228133
1203,key,8.221923
1204,was,1.943377
1205,too,2.925657
1206,small,2.295505
1207,but,3.192888
1208,at,4.702190
1209,any,3.884311
1210,rate,0.406443
1211,it,1.374296
1212,would,3.131264
1213,not,2.099002
1214,open,5.826767
1215,any,4.546438
1216,of,2.799257
1217,them,1.036852
1218,however,7.183652
1219,on,5.743347
1220,the,1.006292
1221,second,4.278505
1222,time,6.348123
1223,round,9.414843
1224,she,3.847546
1225,came,4.622463
1226,upon,5.065622
1227,a,1.445692
1228,low,5.784176
1229,curtain,9.690327
1230,she,5.560209
1231,had,1.500332
1232,not,3.170061
1233,noticed,2.540022
1234,before,1.954689
1235,and,1.916399
1236,behind,7.184183
1237,it,1.544209
1238,was,1.471798
1239,a,0.645733
1240,little,3.480302
1241,door,4.374662
1242,about,9.086435
1243,fifteen,4.540931
1244,inches,1.836132
1245,high,1.790081
1246,she,5.708128
1247,tried,6.685987
1248,the,4.765150
1249,little,4.578196
1250,golden,7.245085
1251,key,2.278476
1252,in,2.370855
1253,the,0.740614
1254,lock,1.943850
1255,and,1.632728
1256,to,5.860376
1257,her,2.490777
1258,great,3.876447
1259,delight,2.666845
1260,it,3.859882
1261,fitted,6.318920
1262,alice,8.369875
1263,opened,6.683542
1264,the,0.941212
1265,door,0.492929
1266,and,0.900578
1267,found,4.677340
1268,that,2.577496
1269,it,1.726000
1270,led,8.389629
1271,into,2.511262
1272,a,1.435703
1273,small,3.406956
1274,passage,6.018294
1275,not,6.437628
1276,much,5.430571
1277,larger,2.052485
1278,than,0.113319
1279,a,2.028051
1281,hole,5.588693
1282,she,6.283734
1283,knelt,9.809502
1284,down,1.306017
1285,and,2.113007
1286,looked,2.226406
1287,along,7.430856
1288,the,1.329123
1289,passage,2.451473
1290,into,4.805302
1291,the,0.388493
1292,loveliest,13.705890
1293,garden,2.722483
1294,you,8.163999
1295,ever,1.188910
1296,saw,0.300461
1297,how,5.181210
1298,she,4.066458
1299,longed,3.450893
1300,to,0.577698
1301,get,3.321724
1302,out,2.625877
1303,of,0.571964
1304,that,3.256107
1305,dark,4.726400
1306,hall,5.823192
1307,and,2.244708
1308,wander,6.527043
1309,about,1.877468
1310,among,4.414850
1311,those,3.066517
1312,beds,6.892381
1313,of,2.642640
1314,bright,5.263767
1315,flowers,4.020906
1316,and,1.659647
1317,those,5.978841
1318,cool,7.424392
1319,fountains,7.606748
1320,but,5.983818
1321,she,1.694313
1322,could,2.150997
1323,not,0.563848
1324,even,4.817114
1325,get,4.062817
1326,her,2.524169
1327,head,4.799142
1328,through,6.676699
1329,the,0.981215
1330,doorway,6.850639
1331,and,1.425663
1332,even,6.032252
1333,if,2.991348
1334,my,10.438629
1335,head,4.111835
1336,would,3.632858
1337,go,3.661407
1338,through,5.377817
1339,thought,9.446074
1340,poor,7.087030
1341,alice,8.101257
1342,it,3.957477
1343,would,0.787052
1344,be,0.655313
1345,of,6.838887
1346,very,5.475746
1347,little,2.652119
1348,use,1.309122
1349,without,8.598206
1350,my,4.147780
1351,shoulders,9.483236
1352,oh,4.745709
1353,how,3.578271
1354,i,3.520348
1355,wish,1.626095
1356,i,0.971926
1357,could,0.768269
1358,shut,7.839439
1359,up,1.422045
1360,like,6.252172
1361,a,1.650778
1362,telescope,10.743985
1363,i,2.498468
1364,think,3.325026
1365,i,1.637810
1366,could,3.680047
1367,if,6.150123
1368,i,0.848015
1369,only,5.197138
1370,knew,1.118200
1371,how,2.620569
1372,to,0.852951
1373,begin,3.853350
1374,for,4.958130
1375,you,4.841186
1376,see,2.768282
1377,so,5.404611
1378,many,1.934498
1382,way,5.649966
1383,things,3.604922
1384,had,6.200315
1385,happened,0.732116
1386,lately,5.236390
1387,that,2.569399
1388,alice,9.456387
1389,had,2.221000
1390,begun,5.147161
1391,to,0.458233
1392,think,2.306511
1393,that,1.853748
1394,very,7.065557
1395,few,4.580217
1396,things,2.277317
1397,indeed,8.236757
1398,were,1.866953
1399,really,3.801823
1400,impossible,5.230085
1401,there,3.948738
1402,seemed,5.070402
1403,to,0.579754
1404,be,0.109516
1405,no,1.235992
1406,use,4.533621
1407,in,0.751631
1408,waiting,4.794680
1409,by,6.976691
1410,the,0.799603
1411,little,5.048828
1412,door,3.892537
1413,so,5.231176
1414,she,2.174170
1415,went,2.972223
1416,back,3.001524
1417,to,0.354534
1418,the,0.817884
1419,table,4.923996
1420,half,8.095467
1421,hoping,6.983062
1422,she,3.789518
1423,might,2.299015
1424,find,3.496887
1425,another,4.105470
1426,key,4.989518
1427,on,3.475289
1428,it,3.377537
1429,or,4.693507
1430,at,4.438316
1431,any,1.753700
1432,rate,0.306623
1433,a,2.886103
1434,book,5.940564
1435,of,2.646194
1436,rules,10.370710
1437,for,3.592000
1438,shutting,9.993851
1439,people,7.517302
1440,up,1.984064
1441,like,5.941991
1442,telescopes,5.145330
1443,this,7.458793
1444,time,2.905544
1445,she,3.713013
1446,found,4.533165
1447,a,2.750937
1448,little,3.488894
1449,bottle,5.273932
1450,on,2.823891
1451,it,2.913223
1452,which,4.345577
1453,certainly,7.332101
1454,was,1.442413
1455,not,1.904112
1456,here,9.017231
1457,before,5.783787
1458,said,7.766530
1459,alice,7.417939
1460,and,3.268232
