Order,praatword,distance
349,and,2.123975
350,to,2.313777
351,wonder,4.726109
352,what,2.044100
353,was,2.133101
354,going,1.543747
355,to,2.073997
356,happen,0.068846
357,next,1.927301
358,first,7.760854
359,she,2.350037
360,tried,5.159089
361,to,0.286358
362,look,4.632832
363,down,3.602256
364,and,2.691436
365,make,4.643690
366,out,3.704731
367,what,1.879922
368,she,1.190073
369,was,1.288380
370,coming,5.360350
371,to,0.861212
372,but,2.503705
373,it,3.278099
374,was,0.547617
375,too,3.567757
376,dark,3.024853
377,to,0.891621
378,see,1.854595
379,anything,2.955942
380,then,6.037390
381,she,1.030806
382,looked,3.602993
383,at,1.730218
384,the,1.352695
385,sides,11.097815
386,of,0.229509
387,the,0.394909
388,well,7.902920
389,and,1.508710
390,noticed,6.043034
391,that,0.674707
392,they,2.968822
393,were,0.610653
394,filled,7.785845
395,with,0.283665
396,cupboards,8.630380
397,and,0.747660
398,book-shelves,4.745464
399,here,7.975181
400,and,0.130308
401,there,0.024246
402,she,4.190363
403,saw,2.558122
404,maps,10.579813
405,and,1.017224
406,pictures,3.365150
407,hung,7.312582
409,on,3.924622
410,pegs,5.459517
411,she,2.449945
412,took,4.794705
413,down,4.834035
414,a,2.057178
415,jar,5.340487
416,from,3.416254
417,one,3.080124
418,of,0.669510
419,the,0.186935
420,shelves,3.756471
421,as,5.063567
422,she,1.306306
423,passed,3.133761
424,it,2.434181
425,was,4.997026
426,labelled,7.560669
427,orange,10.659433
428,marmalade,4.137858
429,but,4.190493
430,to,7.071427
431,her,2.400807
432,great,3.104876
433,disappointment,4.687650
434,it,2.511035
435,was,0.988853
436,empty,5.365294
437,she,3.649998
438,did,3.836564
439,not,0.219770
440,like,3.832290
441,to,0.893666
442,drop,6.437885
443,the,2.059811
444,jar,5.213781
445,for,3.845118
446,fear,4.123255
447,of,0.649179
448,killing,8.564794
449,somebody,6.008436
451,so,5.203113
453,managed,9.187409
454,to,0.679983
455,put,3.622425
456,it,0.657621
457,into,2.559015
458,one,4.559292
459,of,1.724533
460,the,0.625170
461,cupboards,4.267326
462,as,4.266699
463,she,1.447608
464,fell,4.935172
465,past,6.585228
466,it,2.637590
467,well,4.962705
468,thought,9.346588
469,alice,6.848146
470,to,3.674006
471,herself,1.291636
472,after,4.952034
473,such,5.575071
474,a,0.683407
475,fall,8.364809
476,as,1.821756
477,this,2.280276
478,i,4.623991
479,shall,4.104287
480,think,4.612044
481,nothing,6.539978
482,of,1.710213
483,tumbling,12.645597
484,down,3.034760
485,stairs,4.950014
486,how,5.158430
487,brave,7.813487
488,they,3.296604
489,'ll,5.902252
490,all,3.562204
491,think,4.934249
492,me,4.493247
493,at,5.586629
494,home,1.106296
495,why,5.097986
496,i,3.438720
497,would,4.520920
498,n't,0.595284
499,say,3.612154
500,anything,1.951420
501,about,1.376394
502,it,0.924058
503,even,5.891682
504,if,0.613792
505,i,0.905207
506,fell,7.750278
507,off,4.046004
508,the,2.446194
509,top,5.100972
510,of,0.592545
511,the,1.101528
512,house,4.278559
513,which,7.793493
514,was,2.339343
515,very,4.115458
516,likely,4.343747
517,true,7.443821
518,down,8.244247
519,down,6.503353
520,down,4.863544
521,would,6.642614
522,the,3.640594
523,fall,8.992865
524,never,6.310744
525,come,2.463362
526,to,2.166405
527,an,3.028270
528,end,0.043121
529,i,2.490530
530,wonder,4.571876
531,how,2.680460
532,many,2.484139
533,miles,6.259679
534,i,2.812914
535,'ve,2.169207
536,fallen,6.429076
537,by,6.648961
538,this,2.763033
539,time,0.252857
540,she,2.449944
541,said,4.273359
542,aloud,7.277365
543,i,2.490530
544,must,4.372803
545,be,2.658556
546,getting,3.525570
547,somewhere,6.423481
548,near,2.541370
549,the,1.525928
550,centre,8.770309
551,of,0.519543
552,the,0.614817
553,earth,4.531477
554,let,6.310376
555,me,1.297669
556,see,2.090951
557,that,2.802329
558,would,7.178940
559,be,1.326165
560,four,7.783586
561,thousand,2.918023
562,miles,4.833379
563,down,4.236729
564,i,5.175215
565,think,3.232994
566,for,6.022779
567,you,3.266933
568,see,3.208970
569,alice,9.289402
570,had,4.593786
571,learnt,8.159349
572,several,6.516922
573,things,1.080898
574,of,4.072661
575,this,4.194055
576,sort,0.948070
577,in,3.595510
578,her,2.244292
579,lessons,6.999750
580,in,3.723898
581,the,1.346216
583,room,4.972039
584,and,1.422974
585,though,5.718174
586,this,5.066168
587,was,1.543716
588,not,2.003511
589,a,2.249578
590,very,2.713301
591,good,3.114870
592,opportunity,7.897459
593,for,0.863474
594,showing,8.796215
595,off,4.321527
596,her,2.306617
597,knowledge,7.788939
598,as,4.647420
599,there,6.760209
600,was,0.691694
601,no,1.574659
602,one,1.955607
603,to,1.802086
604,listen,5.323722
605,to,0.504421
606,her,2.074425
607,still,8.938614
608,it,3.647912
609,was,0.682810
610,good,6.411198
611,practice,6.224990
612,to,1.656786
613,say,3.817476
614,it,3.402623
615,over,4.705719
616,yes,9.739539
617,that,3.855732
618,'s,2.419863
619,about,5.094222
620,the,1.850414
621,right,5.549924
622,distance,8.643771
623,but,4.300737
624,then,5.401726
625,i,1.606608
626,wonder,5.428589
627,what,1.595200
628,latitude,15.710656
629,or,4.828127
630,longitude,10.228371
631,i,3.648071
632,'ve,2.617765
633,got,1.767325
634,to,1.581367
635,alice,8.210831
636,had,2.772511
637,no,3.780890
640,idea,1.909009
641,what,1.542345
642,latitude,16.713566
643,was,3.838341
644,or,4.788839
645,longitude,14.657550
646,either,6.565559
647,but,4.314062
649,thought,7.977191
650,they,4.831529
