Order,praatword,distance
349,and,2.188016
350,to,4.086058
351,wonder,5.408571
352,what,1.762798
353,was,2.178219
354,going,2.191569
355,to,1.768490
356,happen,0.109026
357,next,3.118611
358,first,7.697642
359,she,2.284982
360,tried,5.484789
361,to,0.324556
362,look,4.772330
363,down,4.161661
364,and,3.617638
365,make,6.016518
366,out,3.662409
367,what,1.860161
368,she,1.071105
369,was,1.727552
370,coming,5.688285
371,to,0.981613
372,but,3.160112
373,it,2.500991
374,was,0.432623
375,too,3.459728
376,dark,3.169753
377,to,1.191772
378,see,2.212580
379,anything,2.987366
380,then,7.356311
381,she,1.986774
382,looked,3.471635
383,at,1.286207
384,the,1.397374
385,sides,9.343159
386,of,0.462067
387,the,0.312527
388,well,6.925595
389,and,3.990635
390,noticed,7.515186
391,that,0.858927
392,they,3.689909
393,were,0.540325
394,filled,7.061266
395,with,0.372517
396,cupboards,11.341928
397,and,1.270523
398,book-shelves,4.895060
399,here,7.252180
400,and,0.986897
401,there,0.147352
402,she,4.730806
403,saw,3.514937
404,maps,15.245031
405,and,1.067152
406,pictures,5.547615
407,hung,8.728292
409,on,4.554355
410,pegs,6.903638
411,she,2.420359
412,took,4.966339
413,down,4.653643
414,a,2.397949
415,jar,6.569859
416,from,3.282341
417,one,3.171684
418,of,0.505863
419,the,0.213137
420,shelves,6.372204
421,as,5.359467
422,she,0.963007
423,passed,3.435743
424,it,2.406383
425,was,4.379511
426,labelled,8.625853
427,orange,12.706739
428,marmalade,11.547161
429,but,4.078386
430,to,5.868362
431,her,2.530113
432,great,4.206182
433,disappointment,6.334689
434,it,2.535240
435,was,0.642876
436,empty,5.945498
437,she,3.536388
438,did,3.403683
439,not,0.158533
440,like,3.464111
441,to,1.410784
442,drop,7.492801
443,the,2.059214
444,jar,7.098488
445,for,4.742041
446,fear,5.400037
447,of,0.771442
448,killing,9.039897
449,somebody,6.087901
451,so,5.247326
453,managed,8.308590
454,to,0.934140
455,put,3.749740
456,it,0.730637
457,into,1.862122
458,one,4.155596
459,of,1.234152
460,the,0.790215
461,cupboards,7.569886
462,as,4.225660
463,she,1.532989
464,fell,6.958778
465,past,8.820724
466,it,1.557345
467,well,4.859489
468,thought,9.693699
469,alice,8.444550
470,to,4.041518
471,herself,1.196971
472,after,4.686778
473,such,5.502098
474,a,0.526579
475,fall,10.626606
476,as,2.316924
477,this,2.262863
478,i,6.350983
479,shall,3.545485
480,think,4.878622
481,nothing,7.572615
482,of,1.232542
483,tumbling,18.939112
484,down,3.007181
485,stairs,7.691428
486,how,5.022489
487,brave,8.323198
488,they,3.132018
489,'ll,6.158063
490,all,5.299871
491,think,3.615801
492,me,4.564651
493,at,5.655653
494,home,1.694111
495,why,5.034443
496,i,3.231957
497,would,4.286617
498,n't,0.369772
499,say,3.958508
500,anything,1.506893
501,about,1.483018
502,it,0.608635
503,even,6.051085
504,if,0.533604
505,i,0.976326
506,fell,8.235390
507,off,4.491564
508,the,3.434038
509,top,5.705493
510,of,0.313145
511,the,1.276670
512,house,4.322676
513,which,7.600273
514,was,2.056358
515,very,5.225317
516,likely,4.751402
517,true,6.261087
518,down,8.194143
519,down,5.587062
520,down,4.871529
521,would,6.539423
522,the,3.682112
523,fall,8.525455
524,never,7.784925
525,come,3.404603
526,to,2.138706
527,an,2.970450
528,end,0.083582
529,i,2.495077
530,wonder,4.464540
531,how,2.630795
532,many,2.903551
533,miles,5.209341
534,i,2.998763
535,'ve,2.323855
536,fallen,6.737326
537,by,6.490198
538,this,3.232299
539,time,0.328495
540,she,2.420362
541,said,4.217604
542,aloud,6.623641
543,i,2.495077
544,must,4.021945
545,be,2.867939
546,getting,3.568743
547,somewhere,7.169837
548,near,3.447367
549,the,1.170578
550,centre,8.773674
551,of,0.741173
552,the,0.606054
553,earth,5.092441
554,let,6.321386
555,me,1.049587
556,see,1.734784
557,that,2.493258
558,would,7.340958
559,be,1.976093
560,four,9.443983
561,thousand,4.845888
562,miles,3.049657
563,down,4.510831
564,i,4.926025
565,think,3.863015
566,for,6.118021
567,you,1.886197
568,see,4.805379
569,alice,8.756618
570,had,5.505508
571,learnt,7.612476
572,several,7.247381
573,things,1.656968
574,of,3.775734
575,this,3.017480
576,sort,1.289194
577,in,3.982227
578,her,2.100853
579,lessons,9.446674
580,in,4.545312
581,the,1.851627
583,room,8.649068
584,and,1.802603
585,though,4.837604
586,this,5.449087
587,was,1.691531
588,not,2.024439
589,a,1.993264
590,very,2.373735
591,good,2.718636
592,opportunity,5.126322
593,for,1.859428
594,showing,9.032280
595,off,5.616793
596,her,1.868446
597,knowledge,6.180316
598,as,5.290080
599,there,5.848906
600,was,1.164879
601,no,1.527944
602,one,2.519910
603,to,2.270607
604,listen,6.323840
605,to,0.468216
606,her,2.805361
607,still,8.922935
608,it,3.162415
609,was,0.761364
610,good,7.072306
611,practice,9.515984
612,to,1.391184
613,say,4.163342
614,it,2.569244
615,over,5.368536
616,yes,10.531745
617,that,3.498773
618,'s,2.521182
619,about,5.976986
620,the,2.367075
621,right,4.407719
622,distance,11.764492
623,but,2.789217
624,then,5.048946
625,i,1.917556
626,wonder,5.893473
627,what,1.609022
628,latitude,16.195669
629,or,3.901056
630,longitude,15.995930
631,i,3.439910
632,'ve,4.159278
633,got,2.566131
634,to,1.025562
635,alice,8.048593
636,had,2.610293
637,no,3.220668
640,idea,2.274818
641,what,2.840000
642,latitude,15.190039
643,was,3.057663
644,or,5.485481
645,longitude,17.386904
646,either,7.103546
647,but,3.903772
649,thought,8.513483
650,they,4.834600
651,were,1.667662
652,nice,7.958436
653,grand,12.402478
654,words,6.470902
655,to,3.710812
656,say,3.959887
657,presently,7.252030
658,she,1.566326
659,began,3.762079
660,again,3.565280
661,i,2.495077
662,wonder,4.464540
663,if,0.970539
664,i,2.295543
665,shall,2.857239
666,fall,6.939937
667,right,4.081204
668,through,4.398384
669,the,1.749462
670,earth,6.582141
671,how,5.022488
672,funny,5.007191
673,it,1.416065
674,'ll,7.797260
675,seem,4.615933
676,to,0.821045
677,come,5.392282
678,out,2.096085
679,among,7.624399
680,the,0.959455
681,people,4.487324
682,that,3.678070
683,walk,6.927853
684,with,3.305481
685,their,3.544887
686,heads,6.323260
687,downward,7.498859
688,the,2.782146
689,antipathies,4.392950
690,i,5.856817
691,think,3.828018
692,she,3.080525
693,was,2.920713
694,rather,4.601745
695,glad,4.571424
696,there,6.579751
697,was,0.664034
698,no,2.690089
699,one,2.712711
700,listening,8.231566
701,this,6.529939
702,time,2.007540
703,as,4.897692
704,it,3.662134
705,did,3.465437
706,n't,2.474617
707,sound,4.677189
708,at,4.763815
709,all,0.258486
710,the,3.977347
711,right,6.498194
712,word,5.589544
713,but,3.918964
714,i,1.712389
715,shall,5.615092
716,have,2.691614
717,to,0.746563
718,ask,3.801052
719,them,4.871627
720,what,4.115443
721,the,3.482885
722,name,3.663484
723,of,1.532848
724,the,1.187140
725,country,4.676291
726,is,1.311846
727,you,7.676165
728,know,1.037470
729,please,7.658332
730,ma'am,5.402573
731,is,6.001712
732,this,3.562815
733,new,7.154740
734,zealand,7.586717
735,or,6.115811
736,australia,13.244016
737,and,3.138235
738,she,2.732726
739,tried,5.424657
740,to,0.239883
741,curtsey,12.015505
742,as,4.490152
743,she,1.226567
744,spoke,2.573964
745,fancy,12.294877
746,curtseying,13.946832
747,as,3.907187
748,you,6.554016
749,'re,4.263669
750,falling,8.291786
751,through,5.418067
752,the,1.325755
753,air,4.078730
754,do,5.094278
755,you,0.864918
756,think,1.959135
757,you,2.087090
758,could,2.482543
759,manage,4.410539
760,it,1.875546
761,and,3.138234
762,what,3.810695
763,an,4.715435
