Order,praatword,distance
1,alice,9.682617
2,was,2.855703
3,beginning,5.200243
4,to,0.289516
5,get,4.361008
6,very,7.151321
7,tired,5.058213
8,of,0.915817
9,sitting,8.789082
10,by,3.456801
11,her,0.965391
12,sister,4.361760
13,on,6.465840
14,the,0.673254
15,bank,6.389670
16,and,2.447289
17,of,6.278022
18,having,8.244352
19,nothing,5.664042
20,to,0.598664
21,do,1.870320
22,once,10.206155
23,or,2.475517
24,twice,1.270738
25,she,3.067679
26,had,1.659657
27,peeped,10.664290
28,into,1.704453
29,the,1.101123
30,book,9.528179
31,her,6.329749
32,sister,5.027359
33,was,4.443419
34,reading,6.679230
35,but,5.287606
36,it,4.282575
37,had,1.888290
38,no,4.189590
39,pictures,12.192491
40,or,4.442180
41,conversations,10.159904
42,in,3.123260
43,it,1.863728
44,and,2.665281
45,what,6.374081
46,is,5.413177
47,the,3.003829
48,use,2.108822
49,of,0.098442
50,a,2.730987
51,book,5.099017
52,thought,10.074955
53,alice,7.899161
54,without,7.055966
55,pictures,11.194128
56,or,3.016273
57,conversations,11.327531
58,so,5.215098
59,she,2.921087
60,was,2.807045
61,considering,7.979336
62,in,2.784258
63,her,1.257942
64,own,1.976657
65,mind,2.881799
66,as,3.904365
67,well,3.760862
68,as,0.144234
69,she,1.406112
70,could,2.146033
71,for,4.197721
72,the,2.926952
73,hot,10.173808
74,day,2.929605
75,made,9.335356
76,her,1.512093
77,feel,2.614279
78,very,3.588155
79,sleepy,6.854748
80,and,1.343705
81,stupid,7.809345
82,whether,8.301531
83,the,3.540707
84,pleasure,7.280250
85,of,1.054488
86,making,5.655069
87,a,3.093140
89,chain,5.584367
90,would,4.099196
91,be,1.178143
92,worth,6.918505
93,the,4.030509
94,trouble,7.289378
95,of,1.458286
96,getting,6.240388
97,up,3.361867
98,and,2.845146
99,picking,8.959320
100,the,3.013378
101,daisies,10.596024
102,when,7.382962
103,suddenly,6.159579
104,a,4.353006
105,white,7.935274
106,rabbit,9.637060
107,with,5.470413
108,pink,8.768240
109,eyes,4.651152
110,ran,5.857461
111,close,7.600939
112,by,5.645300
113,her,0.952950
114,there,4.264223
115,was,1.035553
116,nothing,3.676469
117,so,4.536544
118,very,4.395535
119,remarkable,6.910151
120,in,1.586721
121,that,4.211664
122,nor,9.860118
123,did,5.614366
124,alice,10.722438
125,think,4.233841
126,it,2.919922
127,so,3.395310
128,very,3.524476
129,much,2.064966
130,out,7.064128
131,of,0.270708
132,the,2.922890
133,way,1.601954
134,to,3.176291
135,hear,5.311007
136,the,2.883381
137,rabbit,9.152489
138,say,6.709324
139,to,3.240776
140,itself,8.866288
141,oh,6.160379
142,dear,3.640270
143,oh,4.877663
144,dear,3.360967
145,i,2.397326
146,shall,3.531607
149,late,5.810666
150,when,4.653202
151,she,1.738451
152,thought,4.955162
153,it,3.283446
154,over,4.731992
155,afterwards,8.603657
156,it,4.461165
157,occurred,6.171208
158,to,0.381408
159,her,0.646427
160,that,0.250841
161,she,1.375814
162,ought,4.803950
163,to,0.344650
164,have,1.943298
165,wondered,7.566669
166,at,4.605196
167,this,3.680625
168,but,8.323923
169,at,5.023565
170,the,2.335251
171,time,3.936052
172,it,3.104866
173,all,5.614052
174,seemed,2.596854
175,quite,3.009073
176,natural,4.207767
177,but,4.371576
178,when,4.277374
179,the,3.276809
180,rabbit,7.557428
181,actually,7.783380
182,took,4.941767
183,a,3.760357
184,watch,8.625479
185,out,6.743085
186,of,0.552106
187,its,4.493564
189,POCKET,6.930116
190,and,2.590713
191,looked,6.694952
192,at,1.970105
193,it,1.249055
194,and,2.358541
195,then,2.698671
196,hurried,6.325587
197,on,3.939039
198,alice,10.867738
199,started,7.797763
200,to,1.719029
201,her,1.209430
202,feet,2.285184
203,for,3.951917
204,it,3.584602
205,flashed,7.146651
206,across,5.277170
207,her,0.600991
208,mind,3.468785
209,that,2.593213
210,she,0.990282
211,had,1.340538
212,never,3.130868
213,before,3.365608
214,seen,1.502918
215,a,5.029906
216,rabbit,9.186055
217,with,3.284260
218,either,6.820471
219,a,4.604937
221,pocket,4.862527
222,or,3.615918
223,a,0.849475
224,watch,10.238379
225,to,3.886470
226,take,4.800677
227,out,4.670219
228,of,1.738693
229,it,3.797535
230,and,3.269026
231,burning,11.605814
232,with,2.908715
233,curiosity,7.098176
234,she,4.374763
235,ran,4.901432
236,across,4.809160
237,the,0.344251
238,field,5.219007
239,after,6.262991
240,it,4.278661
241,and,1.604745
242,fortunately,9.166256
243,was,5.949122
244,just,4.767563
245,in,4.188500
246,time,3.631925
247,to,0.852553
248,see,2.163539
249,it,2.800221
250,pop,13.358061
251,down,5.013090
252,a,3.808273
253,large,6.618875
255,hole,6.978700
256,under,6.966381
257,the,0.747363
258,hedge,4.493192
259,in,4.753800
260,another,4.279376
261,moment,0.764866
262,down,9.262331
263,went,8.208880
264,alice,12.332825
265,after,6.309626
266,it,6.812128
267,never,8.396534
268,once,6.230789
269,considering,13.050192
270,how,6.028876
271,in,4.741485
272,the,1.754577
273,world,1.305688
274,she,1.836449
275,was,2.005666
276,to,3.413210
277,get,4.939723
278,out,3.058891
279,again,5.923282
280,the,2.860638
282,hole,3.926826
283,went,6.140712
284,straight,4.125944
285,on,4.087078
286,like,7.779197
287,a,0.603446
288,tunnel,9.384699
289,for,4.493803
290,some,4.115422
291,way,5.841093
292,and,3.671032
293,then,1.205331
294,dipped,11.074568
295,suddenly,8.087695
296,down,3.556420
297,so,8.142009
298,suddenly,3.801325
299,that,1.200360
300,alice,10.757839
301,had,2.593138
302,not,3.490345
303,a,4.128516
304,moment,2.661800
305,to,2.450613
306,think,5.089231
307,about,2.839710
308,stopping,10.326288
309,herself,6.842861
310,before,4.793886
311,she,1.521152
312,found,4.466074
313,herself,0.876972
314,falling,8.233656
315,down,3.491296
320,a,4.325826
321,very,5.162133
322,deep,6.403301
323,well,6.449147
324,either,9.792013
325,the,3.484609
326,well,9.137553
327,was,3.341442
328,very,4.050557
329,deep,6.618961
330,or,6.718160
331,she,5.179438
332,fell,6.717930
333,very,5.318881
334,slowly,4.367077
335,for,4.963548
336,she,2.922493
337,had,1.766493
338,plenty,9.686470
339,of,0.211352
340,time,2.985196
341,as,4.885611
342,she,1.200264
343,went,5.120251
344,down,3.629990
345,to,1.324246
346,look,7.771962
347,about,3.415244
348,her,0.674961
349,and,1.682425
350,to,5.701549
351,wonder,5.556500
