AUDIOTEXT,Trigger,segment,tmin,Order,LexFunc
for,1,2,10.1080544,203,0
it,1,2,10.3256874,204,0
flashed,1,2,10.4425664,205,1
across,1,2,10.8503674,206,0
her,1,2,11.3053334,207,0
mind,1,2,11.3771704,208,1
that,1,2,12.1913204,209,0
she,1,2,12.3150514,210,0
’d,1,2,12.4278374,211,0
never,1,2,12.5354954,212,1
before,1,2,12.9096874,213,1
seen,1,2,13.3209554,214,1
a,1,2,13.7505944,215,0
rabbit,1,2,13.8315924,216,1
with,1,2,14.2027484,217,0
either,1,2,14.3713834,218,0
a,1,2,14.7563734,219,0
waistcoat,1,2,14.8570194,220,1
pocket,1,2,15.2922724,221,1
or,1,2,15.8430204,222,0
a,1,2,16.1249724,223,0
watch,1,2,16.1782584,224,1
to,1,2,16.5853334,225,0
take,1,2,16.7050614,226,1
out,1,2,16.9804354,227,0
of,1,2,17.1816424,228,0
it,1,2,17.3169194,229,0
and,1,2,18.0100954,230,0
burning,1,2,18.2734974,231,1
with,1,2,18.6566264,232,0
curiosity,1,2,18.8172454,233,1
she,1,2,20.0813884,234,0
ran,1,2,20.2968984,235,1
across,1,2,20.5483274,236,0
the,1,2,20.9434294,237,0
field,1,2,21.0392114,238,1
after,1,2,21.4103674,239,1
it,1,2,21.8665724,240,0
and,1,2,22.4041094,241,0
fortunately,1,2,22.5977474,242,
was,1,2,23.5894154,243,0
just,1,2,23.8647894,244,1
in,1,2,24.2479184,245,0
time,1,2,24.3796194,246,1
to,1,2,24.6888614,247,0
see,1,2,24.7866944,248,1
it,1,2,24.9782584,249,0
pop,1,2,25.1339054,250,1
down,1,2,25.4691434,251,0
a,1,2,25.6916714,252,0
large,1,2,25.7988114,253,1
rabbit,1,2,26.1875104,254,1
hole,1,2,26.5227484,255,1
under,1,2,26.8220684,256,0
the,1,2,27.1009914,257,0
hedge,1,2,27.2092134,258,1
In,1,2,28.6539054,259,0
another,1,2,28.8555384,260,1
moment,1,2,29.2764904,261,1
down,1,2,29.8392114,262,0
went,1,2,30.1744494,263,1
Alice,1,2,30.3537254,264,1
after,1,2,30.7611164,265,1
it,1,2,31.1847124,266,0
never,1,2,31.7069664,267,1
once,1,2,31.9823404,268,1
considering,1,2,32.3775904,269,1
how,1,2,33.1915924,270,0
in,1,2,33.4658944,271,0
the,1,2,33.5866944,272,0
world,1,2,33.6705034,273,1
she,1,2,34.0775784,274,0
was,1,2,34.2451974,275,0
to,1,2,34.4726804,276,0
get,1,2,34.5684634,277,1
out,1,2,34.7251894,278,0
again,1,2,34.9359684,279,1
The,1,2,36.4990384,280,0
rabbit,1,2,36.5866974,281,1
hole,1,2,36.9630204,282,1
went,1,2,37.1545854,283,1
straight,1,2,37.3092894,284,1
on,1,2,37.6848174,285,0
like,1,2,37.8729524,286,0
a,1,2,38.0506054,287,0
tunnel,1,2,38.1270404,288,1
for,1,2,38.5314564,289,0
some,1,2,38.7110484,290,1
way,1,2,39.0103674,291,1
and,1,2,39.6090074,292,0
then,1,2,39.7885994,293,0
dipped,1,2,40.0041094,294,1
suddenly,1,2,40.2555374,295,1
down,1,2,40.8422044,296,0
so,1,2,41.4528164,297,0
suddenly,1,2,41.7985404,298,1
that,1,2,42.7219324,299,0
Alice,1,2,42.8468034,300,1
had,1,2,43.2607074,301,0
not,1,2,43.4437824,302,0
a,1,2,43.6191014,303,0
moment,1,2,43.6677824,304,1
to,1,2,44.2065584,305,0
think,1,2,44.2903674,306,1
about,1,2,44.5548144,307,0
stopping,1,2,44.8416004,308,1
herself,1,2,45.3433954,309,0
before,1,2,45.8588034,310,1
she,1,2,46.1940414,311,0
found,1,2,46.4215244,312,1
herself,1,2,46.6729524,313,0
falling,1,2,47.1039734,314,1
down,1,2,47.4631564,315,0
,99,,,316,0
,99,,,317,1
,99,,,318,0
,99,,,319,0
a,1,2,47.6700554,320,0
very,1,2,47.7624764,321,1
deep,1,2,48.1934974,322,1
well,1,2,48.5287354,323,1
Either,1,2,50.2168984,324,0
the,1,2,50.5641094,325,0
well,1,2,50.6958104,326,1
was,1,2,50.9951294,327,0
very,1,2,51.1747214,328,1
deep,1,2,51.5339054,329,1
or,1,2,52.1325444,330,0
she,1,2,52.1874444,331,0
fell,1,2,52.4438374,332,1
very,1,2,52.6592904,333,1
slowly,1,2,52.9445924,334,1
for,1,2,54.0841094,335,0
she,1,2,54.2320244,336,0
had,1,2,54.3954014,337,1
plenty,1,2,54.5989394,338,1
of,1,2,55.1504224,339,0
time,1,2,55.3053334,340,1
as,1,2,55.6284084,341,0
she,1,2,55.7602994,342,0
went,1,2,55.9398914,343,1
down,1,2,56.1793474,344,0
to,1,2,56.8617964,345,0
look,1,2,56.9934974,346,1
about,1,2,57.2449254,347,0
her,1,2,57.6156304,348,0
and,1,2,57.8794834,349,0
to,1,2,58.0111844,350,0
wonder,1,2,58.1660754,351,1
what,1,2,58.5156304,352,0
was,1,2,58.6816604,353,0
going,1,2,58.8612524,354,0
to,1,2,59.1485994,355,0
happen,1,2,59.2511584,356,1
next,1,2,59.6873744,357,1
First,1,3,0.478723402,358,1
she,1,3,0.986269787,359,0
tried,1,3,1.201780787,360,1
to,1,3,1.501099787,361,0
look,1,3,1.604642787,362,1
down,1,3,1.836337787,363,0
and,1,3,2.183548787,364,0
make,1,3,2.315249787,365,1
out,1,3,2.602596787,366,0
what,1,3,2.842052787,367,0
she,1,3,2.961780787,368,0
was,1,3,3.143827787,369,0
coming,1,3,3.332936787,370,1
to,1,3,3.716065787,371,0
but,1,3,4.506269787,372,0
it,1,3,4.611587787,373,0
was,1,3,4.721780787,374,0
too,1,3,4.889399787,375,1
dark,1,3,5.057018787,376,1
to,1,3,5.308446787,377,0
see,1,3,5.446654787,378,1
anything,1,3,5.695563787,379,0
then,1,3,7.200147787,380,0
she,1,3,7.403684787,381,0
looked,1,3,7.667086787,382,1
at,1,3,7.913297787,383,0
the,1,3,8.026269787,384,0
sides,1,3,8.110079787,385,1
of,1,3,8.487551787,386,0
the,1,3,8.565045787,387,0
well,1,3,8.667198787,388,1
and,1,3,9.522868787,389,0
noticed,1,3,9.679748787,390,1
that,1,3,10.07361679,391,0
they,1,3,10.20531779,392,0
were,1,3,10.33701879,393,0
filled,1,3,10.46871879,394,1
with,1,3,10.80395679,395,0
cupboards,1,3,10.97157679,396,1
and,1,3,11.55766779,397,0
bookshelves,1,3,11.76178079,398,1
here,1,3,14.07252879,399,0
and,1,3,14.32043479,400,0
there,1,3,14.47960379,401,0
she,1,3,14.75497779,402,0
saw,1,3,15.00640579,403,1
maps,1,3,15.24713779,404,1
and,1,3,15.78066979,405,0
pictures,1,3,15.90436579,406,1
hung,1,3,16.37130379,407,1
up,1,3,16.54214579,408,0
on,1,3,16.72362579,409,0
pegs,1,3,16.91007979,410,1
She,1,3,18.27497779,411,0
took,1,3,18.45456979,412,1
down,1,3,18.69402479,413,0
a,1,3,18.96623079,414,0
jar,1,3,19.05320879,415,1
from,1,3,19.47225679,416,0
one,1,3,19.63987579,417,0
of,1,3,19.80749479,418,0
