Order,praatword,distance
1,alice,9.293938
2,was,2.404543
3,beginning,5.685725
4,to,0.107685
5,get,4.814096
6,very,5.043626
7,tired,1.139353
8,of,1.180155
9,sitting,8.172282
10,by,4.953802
11,her,1.355890
12,sister,5.062954
13,on,4.848423
14,the,0.916486
15,bank,6.815636
16,and,1.396820
17,of,6.120767
18,having,6.710825
19,nothing,6.016003
20,to,0.726624
21,do,0.580427
22,once,8.871043
23,or,2.280628
24,twice,0.483973
25,she,1.601438
26,had,1.911236
27,peeped,9.827937
28,into,1.695005
29,the,0.704557
30,book,8.163773
31,her,4.796191
32,sister,5.607344
33,was,2.273018
34,reading,5.163762
35,but,4.789877
36,it,4.029090
37,had,3.091177
38,no,2.858569
39,pictures,11.048037
40,or,4.209590
41,conversations,12.145378
42,in,2.849572
43,it,2.942707
44,and,2.551034
45,what,6.592547
46,is,4.127501
47,the,2.506746
48,use,3.761380
49,of,0.142794
50,a,3.653981
51,book,2.462128
52,thought,10.203597
53,alice,8.373206
54,without,6.593234
55,pictures,12.623666
56,or,1.840702
57,conversations,11.980161
58,so,5.052729
59,she,1.784416
60,was,3.628395
61,considering,8.586948
62,in,5.464276
63,her,1.876646
64,own,1.779891
65,mind,2.348786
66,as,3.658340
67,well,2.900060
68,as,0.185396
69,she,2.434614
70,could,0.896114
71,for,4.139400
72,the,1.712035
73,hot,9.347063
74,day,3.367867
75,made,7.954548
76,her,1.550182
77,feel,3.017713
78,very,4.597996
79,sleepy,6.515259
80,and,1.013489
81,stupid,7.796686
82,whether,8.526304
83,the,2.814928
84,pleasure,8.551644
85,of,1.148813
86,making,3.135486
87,a,1.765389
89,chain,6.866129
90,would,3.832137
91,be,1.971469
92,worth,5.716286
93,the,4.183464
94,trouble,5.636355
95,of,1.833923
96,getting,3.514763
97,up,4.836409
98,and,1.700542
99,picking,7.819225
100,the,2.946158
101,daisies,11.136514
102,when,6.891560
103,suddenly,4.515290
104,a,4.106104
105,white,5.060020
106,rabbit,8.682825
107,with,4.050145
108,pink,6.462614
109,eyes,3.600351
110,ran,5.201568
111,close,6.507888
112,by,5.937948
113,her,0.464751
114,there,4.296249
115,was,0.962184
116,nothing,2.390037
117,so,4.095596
118,very,5.909328
119,remarkable,6.275136
120,in,0.902631
121,that,4.354804
122,nor,10.192126
123,did,2.995156
124,alice,9.504259
125,think,4.698017
126,it,2.311241
127,so,3.446174
128,very,3.418060
129,much,3.383908
130,out,5.238115
131,of,0.270039
132,the,1.890494
133,way,0.549159
134,to,2.994501
135,hear,6.440952
136,the,2.315792
137,rabbit,10.231551
138,say,4.810954
139,to,2.931103
140,itself,7.617779
141,oh,5.503191
142,dear,3.543396
143,oh,4.434813
144,dear,3.756385
145,i,2.684602
146,shall,3.995366
149,late,5.477902
150,when,4.713025
151,she,1.830149
152,thought,4.663801
153,it,2.688482
154,over,2.522801
155,afterwards,7.929663
156,it,3.037450
157,occurred,3.645700
158,to,0.065819
159,her,0.359365
160,that,0.236383
161,she,1.026480
162,ought,5.310990
163,to,0.252722
164,have,1.839251
165,wondered,7.694251
166,at,4.425043
167,this,4.209903
168,but,5.310068
169,at,5.541533
170,the,2.685512
171,time,2.500530
172,it,2.358053
173,all,6.978477
174,seemed,1.936286
175,quite,4.936780
176,natural,1.236092
177,but,4.808432
178,when,3.971535
179,the,2.750014
180,rabbit,9.809910
181,actually,7.167360
182,took,5.020443
183,a,3.210604
184,watch,8.482372
185,out,3.050159
186,of,0.634624
187,its,3.567360
189,POCKET,4.987692
190,and,1.231785
191,looked,3.508666
192,at,1.225468
193,it,0.612055
194,and,2.301048
195,then,4.245585
196,hurried,8.042039
197,on,2.978785
198,alice,13.033106
199,started,10.077621
200,to,2.610187
201,her,2.349569
202,feet,0.203808
203,for,5.679856
204,it,3.918429
205,flashed,8.310841
206,across,5.612192
207,her,0.387949
208,mind,1.838388
209,that,2.223614
210,she,0.908807
211,had,2.931168
212,never,2.795495
213,before,3.910574
214,seen,1.893983
215,a,1.975500
216,rabbit,5.281546
217,with,5.201231
218,either,7.351441
219,a,3.117157
221,pocket,5.823026
222,or,2.333712
223,a,0.312555
224,watch,10.854580
225,to,5.298455
226,take,3.809984
227,out,3.982923
228,of,3.518096
229,it,2.457958
230,and,2.025815
231,burning,9.696846
232,with,5.247095
233,curiosity,8.026146
234,she,2.963197
235,ran,5.773463
236,across,4.404173
237,the,0.635164
238,field,5.428372
239,after,5.114550
240,it,5.134462
241,and,1.765527
242,fortunately,9.626797
243,was,4.661654
244,just,5.472564
245,in,4.832800
246,time,0.509432
247,to,0.442995
248,see,2.423025
249,it,3.141158
250,pop,12.076584
251,down,3.880955
252,a,4.433792
253,large,4.147391
255,hole,6.592685
256,under,7.926746
257,the,0.839166
258,hedge,2.531918
259,in,4.716370
260,another,3.788693
261,moment,0.984855
262,down,8.062657
263,went,7.507012
264,alice,12.238938
265,after,6.710939
