Order,praatword,distance
1,alice,8.180524
2,was,2.187406
3,beginning,5.689972
4,to,0.076778
5,get,4.395679
6,very,3.976095
7,tired,1.047060
8,of,1.227465
9,sitting,5.633004
10,by,4.030478
11,her,2.125261
12,sister,5.365725
13,on,4.081161
14,the,0.291567
15,bank,6.034967
16,and,1.813890
17,of,4.405592
18,having,4.326200
19,nothing,3.949881
20,to,0.309437
21,do,0.549383
22,once,11.490042
23,or,2.110861
24,twice,0.010399
25,she,3.820776
26,had,2.378045
27,peeped,10.277283
28,into,2.122794
29,the,0.608887
30,book,6.097540
31,her,5.182593
32,sister,6.041993
33,was,2.647923
34,reading,2.571487
35,but,5.247460
36,it,3.034220
37,had,2.501709
38,no,3.183784
39,pictures,7.133502
40,or,4.093688
41,conversations,8.016830
42,in,2.800518
43,it,1.385550
44,and,2.483656
45,what,6.043980
46,is,5.684986
47,the,1.727721
48,use,1.579437
49,of,0.169374
50,a,2.658446
51,book,2.430707
52,thought,9.720751
53,alice,6.663792
54,without,5.130590
55,pictures,10.624938
56,or,2.325911
57,conversations,9.226046
58,so,4.877826
59,she,2.384585
60,was,3.088619
61,considering,7.843382
62,in,5.124607
63,her,2.223911
64,own,1.563811
65,mind,0.337564
66,as,4.665733
67,well,3.512089
68,as,0.206709
69,she,2.195566
70,could,0.988977
71,for,3.512262
72,the,1.402187
73,hot,9.417259
74,day,2.862589
75,made,6.782022
76,her,0.632338
77,feel,1.757584
78,very,3.368587
79,sleepy,5.545560
80,and,1.307156
81,stupid,8.296234
82,whether,8.880077
83,the,2.852918
84,pleasure,7.022477
85,of,0.829409
86,making,5.181906
87,a,1.633795
89,chain,5.537763
90,would,3.895536
91,be,1.728315
92,worth,4.950828
93,the,3.004703
94,trouble,2.612429
95,of,1.581982
96,getting,4.098036
97,up,3.168917
98,and,1.771013
99,picking,6.522053
100,the,3.206234
101,daisies,12.090529
102,when,5.579729
103,suddenly,5.280126
104,a,3.123954
105,white,5.131813
106,rabbit,7.884949
107,with,3.430576
108,pink,6.489013
109,eyes,5.694582
110,ran,5.341503
111,close,5.965611
112,by,4.037462
113,her,2.902163
114,there,4.025705
115,was,0.899481
116,nothing,2.803007
117,so,3.738462
118,very,4.665011
119,remarkable,5.275336
120,in,1.072464
121,that,3.555817
122,nor,8.086241
123,did,1.850968
124,alice,9.496614
125,think,3.663895
126,it,2.031688
127,so,4.202689
128,very,3.221889
129,much,3.189603
130,out,5.158813
131,of,0.074728
132,the,1.517944
133,way,1.806698
134,to,2.101192
135,hear,7.102220
136,the,1.921182
137,rabbit,12.244148
138,say,3.328647
139,to,3.352770
140,itself,4.220490
141,oh,5.647195
142,dear,2.961811
143,oh,4.715725
144,dear,3.628474
145,i,2.500600
146,shall,3.930421
149,late,4.414811
150,when,4.724419
151,she,1.754978
152,thought,4.852505
153,it,3.371716
154,over,1.641535
155,afterwards,7.158038
156,it,3.100475
157,occurred,4.055747
158,to,0.089718
159,her,0.211914
160,that,0.202082
161,she,1.094004
162,ought,4.342133
163,to,0.149641
164,have,1.790859
165,wondered,7.566649
166,at,2.317804
167,this,3.378029
168,but,4.385077
169,at,4.301872
170,the,1.244413
171,time,3.352480
172,it,3.055014
173,all,5.426735
174,seemed,1.061422
175,quite,3.871836
176,natural,1.570307
177,but,5.805210
178,when,4.134608
179,the,2.377901
180,rabbit,10.099850
181,actually,6.641121
182,took,4.097992
183,a,3.018508
184,watch,9.409615
185,out,3.529500
186,of,0.241220
187,its,3.148293
189,POCKET,5.213386
190,and,1.943464
191,looked,4.179474
192,at,1.588230
193,it,0.785622
194,and,2.852409
195,then,3.618359
196,hurried,5.753626
197,on,1.992359
198,alice,10.817626
199,started,7.086311
200,to,1.638222
201,her,4.519053
202,feet,0.198528
203,for,4.707210
204,it,2.053552
205,flashed,6.968172
206,across,3.019226
207,her,0.825891
208,mind,1.177752
209,that,1.274082
210,she,1.210196
211,had,1.577692
212,never,2.774283
213,before,3.538097
214,seen,1.140114
215,a,2.226693
216,rabbit,8.753383
217,with,4.611681
218,either,9.105404
219,a,4.472726
221,pocket,5.968966
222,or,0.952576
223,a,0.376616
224,watch,8.764089
225,to,5.195970
226,take,4.287299
227,out,4.253832
228,of,2.749470
229,it,1.233944
230,and,2.808635
231,burning,13.685900
232,with,2.863142
233,curiosity,6.757355
234,she,3.060604
235,ran,3.754677
236,across,3.532541
237,the,0.783960
238,field,3.344967
239,after,5.083076
240,it,2.887131
241,and,1.806449
242,fortunately,9.170691
243,was,3.950422
244,just,5.158526
245,in,4.690865
246,time,0.426497
247,to,0.520025
248,see,1.501751
249,it,2.576849
250,pop,12.729489
251,down,3.509361
