praatword,parsedword,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
was,was,13,7.916085,0.480435,-1.37564,13,7.919439,1.10815,-1.40628,14,7.903865,1.805181,-1.3908,14,7.908916,2.174613,-1.39415,14,7.84541,2.530252,-1.35042,14,7.856192,2.75287,-1.35895
just,just,10,6.004662,1.44544,0.965005,12,6.018828,1.97534,0.86719,12,6.015359,2.699771,0.89459,13,6.009438,3.095626,0.921013,13,6.012979,3.418119,0.887867,13,6.012862,3.653059,0.900189
in,in,11,4.812526,1.628616,0.183176,11,4.811919,2.209099,0.233759,11,4.809131,2.912911,0.21314,11,4.811854,3.296455,0.200829,11,4.79639,3.608558,0.190439,11,4.795512,3.843394,0.190335
time,time,12,6.336094,1.95459,0.325974,13,6.328567,2.507905,0.298806,13,6.332692,3.249137,0.336226,13,6.328135,3.614646,0.318191,13,6.333365,3.944059,0.335501,13,6.335159,4.18404,0.340646
to,to,13,3.145693,2.665346,0.710756,13,3.117442,3.291203,0.783298,13,3.119013,3.97487,0.725733,13,3.122351,4.344415,0.729769,13,3.116752,4.656246,0.712187,13,3.120561,4.889694,0.705654
see,see,12,3.221163,1.288773,-1.37657,12,3.205932,2.01163,-1.27957,12,3.211785,2.678434,-1.29644,12,3.219297,3.030639,-1.31378,12,3.211609,3.36644,-1.28981,12,3.216463,3.57356,-1.31613
it,it,10,2.208288,2.164228,0.875455,10,2.222883,2.8785,0.86687,10,2.219004,3.544947,0.866513,10,2.212809,3.901183,0.870544,10,2.218547,4.233672,0.867232,10,2.214929,4.442331,0.868771
pop,<UNK>,10,3.849246,3.061587,0.897359,10,3.856363,3.70004,0.82154,10,3.85769,4.397233,0.852286,10,3.843119,4.80251,0.901327,10,3.858076,5.106335,0.872663,10,3.855294,5.340532,0.898201
down,down,16,4.374734,1.665131,-1.39646,16,4.308756,2.421892,-1.27815,16,4.321716,3.090641,-1.30659,16,4.330885,3.463249,-1.33926,16,4.32467,3.769402,-1.33693,16,4.33434,3.980134,-1.3604
a,a,12,2.762278,2.345956,0.680825,12,2.781336,3.119459,0.697567,12,2.775431,3.766348,0.675707,12,2.769633,4.144239,0.68099,12,2.76875,4.441021,0.671619,12,2.765499,4.648936,0.668802
large,large,17,3.079713,1.864412,-0.481544,17,3.092071,2.564211,-0.555248,17,3.068069,3.270969,-0.495379,17,3.061117,3.673149,-0.47109,17,3.059526,3.975649,-0.465372,17,3.058918,4.192746,-0.45619
rabbit,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hole,<UNK>,11,2.082305,1.925048,0.060636,11,2.082383,2.623931,0.05972,11,2.081647,3.334545,0.063576,11,2.081878,3.737428,0.064279,11,2.081424,4.040098,0.064449,11,2.081121,4.256712,0.063966
under,under,17,5.801105,1.380768,-0.54428,17,5.828421,1.986257,-0.637674,17,5.819833,2.734947,-0.599598,17,5.812517,3.164269,-0.573159,17,5.813028,3.461116,-0.578982,17,5.811536,3.682636,-0.574076
the,the,5,1.08257,1.927838,0.54707,5,1.067622,2.535879,0.549622,5,1.077811,3.28133,0.546383,5,1.085043,3.708523,0.544254,5,1.082188,4.00762,0.546504,5,1.081787,4.230171,0.547535
hedge,<UNK>,11,2.671299,1.886642,-0.041196,12,2.673649,2.548131,0.012252,12,2.67492,3.256641,-0.024689,12,2.674091,3.660543,-0.04798,12,2.67393,3.96698,-0.04064,11,2.673885,4.189127,-0.041044
in,in,9,5.80687,1.261209,-0.625433,9,5.770218,1.462493,-1.08564,9,5.75559,1.56017,-1.69647,9,5.749582,1.586537,-2.07401,9,5.746585,1.599649,-2.36733,9,5.745053,1.6062,-2.58293
another,another,11,3.387284,1.336473,0.075264,11,3.409233,1.404908,-0.057585,11,3.417751,1.438187,-0.121983,11,3.4207,1.460987,-0.12555,11,3.422325,1.471728,-0.127921,11,3.422997,1.47833,-0.12787
moment,moment,12,2.189762,1.113276,-0.223197,12,2.197366,1.159522,-0.245386,12,2.199738,1.188662,-0.249525,12,2.199927,1.211591,-0.249396,12,2.200229,1.221152,-0.250576,12,2.200428,1.227367,-0.250963
down,down,11,12.617886,0.908295,-0.204981,11,12.102611,1.583204,0.423682,12,11.831346,2.170209,0.981547,12,11.721591,2.476212,1.26462,12,11.66622,2.661755,1.4406,12,11.622881,2.808566,1.5812
went,went,13,9.873737,1.883035,0.97474,13,9.606181,2.492757,0.909553,13,9.602279,2.961848,0.791639,13,9.591828,3.242735,0.766523,13,9.511363,3.467632,0.805877,13,9.470502,3.609076,0.80051
alice,alice,8,6.231688,2.923301,1.04027,8,6.312093,3.526958,1.0342,9,6.24255,4.076177,1.11433,9,6.238161,4.342253,1.09952,9,6.232317,4.632231,1.1646,9,6.239481,4.811351,1.20228
after,after,13,6.885336,2.101665,-0.821636,13,6.762271,2.836615,-0.690343,14,6.384802,3.262852,-0.813325,15,6.386479,3.552905,-0.789348,15,6.39673,3.745368,-0.886863,15,6.35459,3.952454,-0.858897
it,it,9,3.300157,1.916888,-0.184777,9,3.271261,2.86982,0.033205,9,3.179584,3.270295,0.007443,9,3.162616,3.591983,0.039078,9,3.136994,3.836251,0.090883,9,3.116332,4.075206,0.122752
never,never,15,6.853081,1.048782,-0.868106,16,7.108262,1.994633,-0.875187,15,6.85569,2.648236,-0.622059,15,6.869907,3.031618,-0.560365,15,6.872914,3.46331,-0.372941,15,6.918409,3.686252,-0.388954
once,once,15,8.760983,1.757502,0.70872,12,8.547514,2.468699,0.474066,12,7.228691,2.269061,-0.379175,15,7.306686,2.495499,-0.536119,15,7.38854,2.755875,-0.707435,15,7.418728,2.964086,-0.722166
considering,<UNK>,8,2.613041,1.403715,-0.353787,7,2.73156,2.173452,-0.295247,6,3.098034,2.997966,0.728905,6,3.115242,3.107698,0.612199,6,3.103806,3.324496,0.568621,6,3.119705,3.513102,0.549016
how,how,16,5.743827,1.678431,0.274716,13,5.760882,2.390699,0.217247,13,5.673217,2.982989,-0.014977,13,5.654353,3.220454,0.112756,13,5.656603,3.435184,0.110688,13,5.659324,3.612928,0.099826
in,in,10,6.78304,1.894269,0.215838,10,6.801085,2.504691,0.113992,12,7.131318,3.31425,0.331261,11,7.108753,3.564596,0.344142,10,7.091202,3.795287,0.360103,10,7.083793,3.969565,0.356637
the,the,5,1.621904,2.251934,0.357665,5,1.599949,2.943522,0.438831,5,1.628385,3.662847,0.348597,5,1.611751,3.912332,0.347736,5,1.60746,4.146811,0.351524,5,1.605964,4.313259,0.343694
world,world,20,4.339449,1.745108,-0.506826,16,4.333793,2.468805,-0.474717,16,4.260945,3.072865,-0.589982,16,4.265253,3.350358,-0.561974,16,4.270369,3.590816,-0.555995,16,4.270519,3.760566,-0.552693
she,she,10,1.808313,1.665677,-0.079431,10,1.826164,2.353282,-0.115523,10,1.925305,3.05777,-0.015095,10,1.929194,3.326483,-0.023875,10,1.92204,3.568371,-0.022445,10,1.919145,3.757688,-0.002878
was,was,18,2.37715,1.746268,0.080591,15,2.369578,2.442401,0.089119,14,2.377478,3.178026,0.120256,14,2.373474,3.446981,0.120498,14,2.372556,3.689052,0.120681,14,2.372972,3.866379,0.108691
to,to,17,3.788256,1.939306,0.193038,15,3.792666,2.634671,0.19227,14,3.804142,3.397695,0.219669,15,3.801256,3.671706,0.224725,16,3.799203,3.927265,0.238213,15,3.799499,4.110389,0.24401
get,get,16,3.666598,1.546134,-0.393172,16,3.687538,2.191364,-0.443307,16,3.674939,2.913171,-0.484524,16,3.678084,3.18976,-0.481946,16,3.682274,3.428422,-0.498843,16,3.679419,3.613704,-0.496685
out,out,22,2.844408,1.699853,0.153719,18,2.840131,2.361728,0.170364,18,2.84659,3.07974,0.166569,18,2.844205,3.358001,0.168241,18,2.842898,3.5998,0.171378,18,2.842472,3.783919,0.170215
again,again,23,3.319919,1.638522,-0.061331,19,3.320251,2.33644,-0.025288,19,3.319629,3.064517,-0.015223,19,3.319854,3.343144,-0.014857,19,3.319591,3.590296,-0.009504,19,3.319988,3.772802,-0.011117
the,the,8,2.683444,1.302929,-0.335593,8,2.670419,1.326837,-1.0096,8,2.665062,1.343619,-1.7209,8,2.663296,1.348541,-1.9946,8,2.662343,1.350233,-2.24006,8,2.6617,1.351434,-2.42137
rabbit,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hole,<UNK>,6,3.98241,1.918911,0.615982,6,3.928052,2.151959,0.825122,6,3.922205,2.188201,0.844582,6,3.917438,2.225788,0.877247,6,3.914928,2.245266,0.895033,6,3.913327,2.259877,0.908443
went,went,11,5.676125,1.31639,-0.602521,11,5.732958,1.349805,-0.802154,11,5.736748,1.391951,-0.79625,11,5.737388,1.431458,-0.79433,11,5.736192,1.466382,-0.778884,11,5.737875,1.471108,-0.788769
straight,<UNK>,5,5.211964,2.846279,1.52989,6,5.070798,3.014353,1.66455,6,5.015015,3.140085,1.74813,6,4.997134,3.202231,1.77077,6,4.989343,3.246573,1.78019,6,4.980854,3.262886,1.79178
on,on,13,3.723136,2.412264,-0.434015,13,3.718176,2.751852,-0.262501,14,3.689214,3.026382,-0.113703,14,3.686779,3.095881,-0.10635,14,3.686511,3.14526,-0.101313,15,3.685278,3.205099,-0.057787
like,like,14,8.544865,1.294042,-1.11822,14,8.187659,1.67123,-1.08062,15,8.13783,2.092949,-0.933433,15,8.061203,2.377027,-0.718854,15,8.001226,2.641431,-0.503829,16,7.981475,2.76118,-0.443919
a,a,8,1.979369,2.038842,0.7448,9,2.026059,2.429802,0.758572,9,2.024423,2.840712,0.747763,9,2.030939,3.10981,0.732783,9,2.04463,3.356979,0.715548,9,2.044407,3.476563,0.715383
tunnel,<UNK>,7,1.441294,1.947712,-0.09113,8,1.429797,2.347926,-0.081876,7,1.426538,2.758697,-0.082015,7,1.42603,3.033336,-0.076474,7,1.428306,3.25151,-0.105469,7,1.427857,3.372212,-0.104351
for,for,14,4.322511,2.492171,0.544459,15,4.433316,3.048918,0.700992,16,4.446985,3.380627,0.62193,16,4.455017,3.691631,0.658295,16,4.467921,3.871011,0.619501,16,4.459982,4.002939,0.630727
some,some,10,4.392557,2.494766,0.002595,12,4.377543,3.002351,-0.046567,12,4.328056,3.41462,0.033993,12,4.331788,3.688237,-0.003394,12,4.322098,3.847952,-0.023059,12,4.320577,3.978818,-0.024121
way,way,14,4.427722,1.964256,-0.53051,17,4.37461,2.552003,-0.450348,17,4.378132,3.027556,-0.387064,17,4.379269,3.285018,-0.403219,18,4.381771,3.45891,-0.389042,18,4.385904,3.586852,-0.391966
and,and,14,2.58647,2.185329,0.221073,17,2.427767,2.842311,0.290308,17,2.377809,3.382119,0.354563,17,2.370211,3.646394,0.361376,17,2.342766,3.874785,0.415875,17,2.344728,3.985415,0.398563
then,then,7,4.240857,2.970301,0.784972,7,4.226507,3.616786,0.774475,7,4.189643,4.12662,0.744501,7,4.175238,4.400048,0.753654,7,4.177174,4.640123,0.765338,7,4.164084,4.758088,0.772673
dipped,<UNK>,10,3.453934,2.741763,-0.228538,11,3.745776,3.394934,-0.221852,11,3.800311,3.968763,-0.157857,11,3.808511,4.212397,-0.187651,11,3.776792,4.449258,-0.190865,11,3.764862,4.62842,-0.129668
suddenly,suddenly,15,8.301374,1.363474,-1.37829,17,8.3692,1.991374,-1.40356,17,8.342099,2.575391,-1.39337,17,8.298814,2.928773,-1.28362,17,8.291478,3.183132,-1.26613,17,8.28459,3.362543,-1.26588
down,down,11,6.546275,1.502584,0.13911,15,6.561621,2.01439,0.023016,15,6.601508,2.522967,-0.052424,15,6.595012,2.842432,-0.086341,15,6.594476,3.12383,-0.059302,16,6.586127,3.315962,-0.046581
so,so,11,5.139453,2.241127,0.738543,16,5.153267,2.785835,0.771445,16,5.090799,3.366505,0.843538,16,5.070232,3.758442,0.91601,16,5.048,4.028177,0.904347,16,5.040349,4.228655,0.912693
suddenly,suddenly,11,7.671304,1.987328,-0.253799,12,7.615919,2.532075,-0.25376,12,7.614052,3.079829,-0.286676,12,7.638542,3.382992,-0.37545,13,7.643625,3.669619,-0.358558,13,7.649846,3.847635,-0.38102
that,that,11,3.208905,2.27343,0.286102,11,3.242772,2.802705,0.27063,11,3.23053,3.347232,0.267403,11,3.217238,3.632518,0.249526,12,3.248358,3.882892,0.213273,12,3.257147,4.070308,0.222673
alice,alice,8,4.304277,2.676316,0.402886,8,4.28177,3.177629,0.374924,8,4.259935,3.728501,0.381269,8,4.251076,4.025819,0.393301,8,4.243777,4.241054,0.358162,8,4.236718,4.425368,0.35506
had,had,13,2.094909,2.132722,-0.543594,13,2.090911,2.697218,-0.480411,13,2.107788,3.227825,-0.500676,13,2.111462,3.540358,-0.485461,14,2.113045,3.775242,-0.465812,14,2.114502,3.965822,-0.459546
not,not,13,3.078266,2.258492,0.12577,14,3.075089,2.80002,0.102802,14,3.063378,3.373603,0.145778,14,3.059778,3.699888,0.15953,15,3.059421,3.930747,0.155505,15,3.057138,4.125616,0.159794
a,a,8,6.019148,3.263734,1.00524,9,5.944647,3.867894,1.06787,8,5.914187,4.473776,1.10017,8,5.884027,4.79387,1.09398,9,5.866194,5.039987,1.10924,9,5.863804,5.243699,1.11808
moment,moment,15,6.589631,2.182199,-1.08153,15,6.567425,2.814254,-1.05364,15,6.585615,3.400761,-1.07301,15,6.593522,3.750883,-1.04299,17,6.5837,4.010007,-1.02998,17,6.577398,4.20356,-1.04014
to,to,12,2.819104,2.879493,0.697294,13,2.884561,3.403138,0.588884,13,2.858418,4.031824,0.631063,13,2.845802,4.408679,0.657796,13,2.854078,4.646374,0.636367,13,2.864107,4.813323,0.609763
think,think,15,4.447543,1.79773,-1.08176,15,4.465105,2.344282,-1.05886,15,4.465192,2.992845,-1.03898,15,4.472159,3.351842,-1.05684,15,4.474637,3.604028,-1.04235,17,4.479191,3.777589,-1.03573
about,about,17,4.794113,2.130519,0.332789,17,4.782845,2.771457,0.427175,17,4.776189,3.404567,0.411722,18,4.773324,3.763013,0.411171,19,4.771183,4.021992,0.417964,19,4.766513,4.206223,0.428634
stopping,<UNK>,10,4.013023,3.239153,1.10863,9,3.937859,3.824585,1.05313,10,3.929605,4.47572,1.07115,10,3.921178,4.846732,1.08372,10,3.9093,5.104253,1.08226,10,3.898814,5.292673,1.08645
herself,herself,20,5.377829,2.153217,-1.08594,20,5.345335,2.832175,-0.99241,20,5.349337,3.431278,-1.04444,20,5.339462,3.816673,-1.03006,22,5.336434,4.070609,-1.03364,22,5.320184,4.296674,-0.995999
before,before,21,5.374554,3.144652,0.991435,21,5.345521,3.854129,1.02195,21,5.306783,4.462851,1.03157,21,5.292886,4.856071,1.0394,23,5.283061,5.112915,1.04231,23,5.292655,5.329881,1.03321
she,she,16,1.715927,1.979139,-1.16551,16,1.716155,2.593859,-1.26027,16,1.674026,3.274275,-1.18858,16,1.665261,3.661736,-1.19434,16,1.675871,3.895575,-1.21734,16,1.667424,4.106625,-1.22326
found,found,23,4.487801,2.032993,0.053854,23,4.480389,2.682667,0.088808,23,4.480028,3.365043,0.090768,23,4.480947,3.761181,0.099445,23,4.477362,4.002283,0.106708,25,4.476772,4.200838,0.094213
herself,herself,23,3.86899,2.617215,0.584222,23,3.866939,3.285619,0.602952,23,3.868411,3.972251,0.607208,23,3.869506,4.363991,0.60281,23,3.857424,4.61893,0.616647,25,3.854763,4.821998,0.62116
falling,<UNK>,8,3.985445,3.627084,1.00987,8,3.986364,4.240053,0.954434,8,3.965351,4.901299,0.929048,8,3.959659,5.280269,0.916278,8,3.944352,5.536885,0.917955,8,3.925349,5.72438,0.902382
down,down,25,4.421554,1.924412,-1.70267,25,4.360782,2.627823,-1.61223,25,4.358752,3.261658,-1.63964,25,4.384329,3.634585,-1.64568,25,4.365113,3.911707,-1.62518,25,4.378564,4.092007,-1.63237
what,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
seemed,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
to,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
be,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a,a,20,2.844444,2.509829,0.585417,20,2.861592,3.179822,0.551999,20,2.850971,3.849037,0.587379,20,2.847634,4.176091,0.541506,20,2.847274,4.492016,0.580309,20,2.84002,4.672503,0.580496
very,very,21,5.135165,2.91339,0.403561,22,5.102547,3.580777,0.400955,22,5.088337,4.24798,0.398943,22,5.055966,4.604876,0.428785,22,5.068301,4.900802,0.408786,22,5.052697,5.096858,0.424355
deep,deep,26,7.969292,1.914886,-0.998504,27,8.008526,2.606246,-0.974531,27,8.007701,3.28031,-0.96767,27,8.038673,3.639066,-0.96581,27,8.023771,3.935107,-0.965695,27,8.034838,4.136538,-0.96032
well,well,26,11.036573,1.07424,-0.840646,27,10.84676,1.710026,-0.89622,27,10.674594,2.340477,-0.939833,27,10.597909,2.755194,-0.883872,27,10.590598,3.039452,-0.895655,27,10.552153,3.258211,-0.878327
either,either,9,11.60677,1.108936,0.034696,9,11.048798,1.798717,0.088691,9,10.52446,2.521057,0.18058,9,10.442203,2.723843,-0.031351,9,10.389522,2.900084,-0.139368,9,10.370398,2.974411,-0.2838
the,the,7,3.267836,1.18153,0.072594,7,2.88784,2.171364,0.372647,7,2.331561,2.461428,-0.059629,7,2.286281,2.765665,0.041822,7,2.293114,2.945283,0.045199,7,2.286122,3.042411,0.068
well,well,12,10.067762,1.655553,0.474023,12,7.576308,1.569141,-0.602223,12,8.379958,2.171161,-0.290267,13,8.452587,2.370375,-0.39529,13,8.458968,2.509333,-0.43595,13,8.458504,2.622604,-0.419807
was,was,10,2.32943,1.055466,-0.600087,12,5.002935,2.038008,0.468867,12,4.882899,2.562339,0.391178,12,4.523419,2.72458,0.354205,12,4.529111,2.848626,0.339293,13,4.537164,2.926013,0.303409
very,very,6,3.330556,1.924799,0.869333,9,3.517341,2.539704,0.501696,9,3.537775,3.071185,0.508846,9,3.589942,3.384302,0.659722,9,3.581367,3.512626,0.664,9,3.579155,3.577095,0.651082
deep,deep,13,10.418998,0.95739,-0.967409,13,9.680786,1.403551,-1.13615,13,9.52775,2.089064,-0.982121,14,9.318644,2.326477,-1.05782,14,9.316182,2.510874,-1.00175,14,9.293809,2.684269,-0.892826
or,or,12,5.449463,1.314508,0.357118,13,5.115956,1.8479,0.444349,13,4.937714,2.287575,0.198511,13,5.181462,2.8639,0.537423,13,5.193369,3.005746,0.494872,13,5.204963,3.138514,0.454245
she,she,10,1.997314,0.900897,-0.413611,10,2.0572,1.340263,-0.507637,10,2.042119,1.98337,-0.304205,10,2.064997,2.478336,-0.385564,10,2.081106,2.54917,-0.456576,10,2.08424,2.669681,-0.468833
fell,fell,10,8.949928,1.089972,0.189075,10,8.856321,1.473504,0.133241,10,8.846169,2.131938,0.148568,10,8.8481,2.602012,0.123676,13,8.850106,2.673225,0.124055,13,8.848072,2.805915,0.136234
very,very,9,3.400457,1.873647,0.783675,9,3.429623,2.251708,0.778204,9,3.476077,2.938037,0.806099,10,3.473064,3.414233,0.812221,10,3.459413,3.518567,0.845342,10,3.460649,3.643351,0.837436
slowly,slowly,13,6.771544,1.108461,-0.765186,13,6.745339,1.583402,-0.668306,14,6.749355,2.25882,-0.679217,14,6.739347,2.711938,-0.702295,14,6.747199,2.803333,-0.715234,14,6.737733,2.928361,-0.71499
for,for,13,3.75188,1.719126,0.610665,13,3.770171,2.172684,0.589282,14,3.76385,2.864536,0.605716,14,3.760929,3.315303,0.603365,14,3.755555,3.39657,0.593237,14,3.759058,3.517606,0.589245
she,she,10,2.339844,0.9916,-0.727526,10,2.356674,1.438067,-0.734617,10,2.347073,2.15618,-0.708356,10,2.353504,2.589895,-0.725408,10,2.344765,2.727703,-0.668867,10,2.344499,2.859338,-0.658268
had,had,15,2.073618,1.064812,0.073212,14,2.079963,1.508211,0.070144,15,2.082355,2.229753,0.073573,16,2.079197,2.663687,0.073792,16,2.078407,2.802576,0.074873,16,2.078629,2.93286,0.073522
plenty,<UNK>,9,2.468939,1.483412,0.4186,9,2.448719,1.92564,0.417429,8,2.44815,2.651233,0.42148,9,2.452247,3.091729,0.428042,9,2.45012,3.234761,0.432185,9,2.449585,3.364259,0.431399
of,of,16,4.454494,1.433784,-0.049628,16,4.463968,1.874889,-0.050751,16,4.457964,2.619941,-0.031292,17,4.454951,3.05747,-0.034259,17,4.451672,3.209475,-0.025286,18,4.452032,3.340302,-0.023957
time,time,17,5.933008,1.694518,0.260734,17,5.94106,2.105026,0.230137,17,5.943619,2.849055,0.229114,18,5.941773,3.295362,0.237892,18,5.939941,3.456545,0.24707,19,5.939364,3.588308,0.248006
as,as,13,3.125984,2.68475,0.990232,13,3.052289,3.197843,1.09282,12,3.022791,3.883616,1.03456,13,3.070559,4.32617,1.03081,13,3.05805,4.490032,1.03349,13,3.050752,4.624354,1.03605
she,she,11,0.860656,1.510293,-1.17446,11,0.886615,2.109415,-1.08843,11,0.883235,2.793952,-1.08966,11,0.869555,3.248902,-1.07727,11,0.876705,3.418507,-1.07153,11,0.880308,3.559912,-1.06444
went,went,20,3.097095,1.578189,0.067896,20,3.095424,2.172976,0.063561,20,3.097023,2.857315,0.063363,21,3.096504,3.312426,0.063524,21,3.095205,3.483408,0.064901,22,3.094928,3.62418,0.064268
down,down,20,3.318562,2.237273,0.659084,20,3.310829,2.790493,0.617517,20,3.310337,3.470332,0.613017,21,3.320504,3.91392,0.601494,22,3.311151,4.094063,0.610655,22,3.304249,4.233993,0.609813
to,to,18,2.757401,2.55395,0.316677,18,2.722677,3.149328,0.358835,18,2.717148,3.834345,0.364013,18,2.721434,4.242714,0.328794,18,2.704458,4.43043,0.336367,18,2.698585,4.576838,0.342845
look,look,21,7.541861,0.906762,-1.64719,21,7.46075,1.296019,-1.85331,21,7.512323,1.804646,-2.0297,21,7.494982,2.229508,-2.01321,22,7.471849,2.34935,-2.08108,22,7.388132,2.591073,-1.98577
about,about,20,4.092476,1.946117,1.03936,20,4.023,2.340665,1.04465,20,4.018056,2.847437,1.04279,20,4.013409,3.265939,1.03643,21,3.982484,3.386124,1.03677,21,3.972569,3.624997,1.03392
her,her,21,2.904775,1.42406,-0.522057,20,2.919233,2.026021,-0.314644,20,2.915721,2.543095,-0.304342,20,2.920876,2.964697,-0.301242,20,2.937906,3.105339,-0.280785,20,2.946023,3.346135,-0.278862
and,and,15,3.058289,2.278872,0.854812,15,2.958331,2.810818,0.784797,16,2.985948,3.427515,0.88442,16,2.980794,3.824498,0.859801,16,2.973577,3.933226,0.827887,16,2.96385,4.154201,0.808066
to,to,15,4.929157,2.589402,0.31053,15,4.943582,3.33818,0.527362,16,4.790232,3.750439,0.322924,15,4.826094,4.185618,0.36112,15,4.779785,4.441941,0.508715,16,4.815299,4.656774,0.502573
wonder,wonder,11,11.470032,0.332724,-2.25668,22,11.548771,0.991751,-2.34643,22,11.312006,1.689474,-2.06097,22,11.340735,2.05422,-2.1314,22,11.300814,2.342012,-2.09993,23,11.265194,2.55198,-2.10479
what,what,11,5.306905,2.195461,1.86274,11,5.556486,2.670825,1.67907,11,5.309085,3.560558,1.87108,11,5.424416,3.795841,1.74162,12,5.398461,4.126809,1.7848,16,5.472261,4.258525,1.70654
was,was,10,2.575482,1.841036,-0.354425,10,2.522801,2.320102,-0.350723,10,2.567108,3.211857,-0.348701,10,2.549257,3.444324,-0.351517,10,2.565221,3.754453,-0.372356,10,2.55955,3.887006,-0.371519
going,going,14,4.554659,0.988441,-0.852595,15,4.470922,1.790913,-0.529189,14,4.537326,2.434143,-0.777714,15,4.504835,2.83431,-0.610014,15,4.519742,3.102328,-0.652125,15,4.507569,3.298744,-0.588262
to,to,12,1.654635,1.697936,0.709495,12,1.563344,2.447616,0.656703,12,1.645866,3.15393,0.719787,12,1.604817,3.54502,0.71071,12,1.611614,3.814443,0.712115,12,1.58375,3.97621,0.677466
happen,happen,16,5.324845,1.188144,-0.509792,16,5.307926,1.945344,-0.502272,16,5.316978,2.637219,-0.516711,16,5.306214,3.0439,-0.50112,16,5.308008,3.309067,-0.505376,17,5.308544,3.471902,-0.504308
next,next,18,5.853594,1.48479,0.296646,19,5.871255,2.193023,0.247679,18,5.859629,2.909836,0.272617,19,5.868415,3.270293,0.226393,19,5.864653,3.542762,0.233695,19,5.86697,3.699479,0.227577
first,first,9,7.972279,1.809055,0.324265,9,7.826282,2.245376,0.052353,9,7.735349,2.606813,-0.303023,9,7.707652,2.745442,-0.524851,9,7.695333,2.795928,-0.746834,9,7.688021,2.825797,-0.873682
she,she,10,3.376253,1.329571,-0.479484,10,3.466081,1.623735,-0.621641,10,3.527829,1.801788,-0.805025,10,3.521997,1.965395,-0.780047,10,3.517931,2.053952,-0.741976,10,3.518618,2.087691,-0.738106
tried,tried,10,5.560484,1.599023,0.269452,10,5.570239,1.796093,0.172358,11,5.567986,1.940174,0.138386,11,5.565538,2.104629,0.139234,11,5.564228,2.199801,0.145849,11,5.564406,2.241157,0.153466
to,to,13,2.006845,1.672003,0.07298,13,1.99237,1.907761,0.111668,13,1.988294,2.083842,0.143668,13,1.98758,2.264012,0.159383,14,1.985215,2.357952,0.158151,14,1.982374,2.402597,0.16144
look,look,13,4.917488,1.431319,-0.240684,13,4.91579,1.699832,-0.207929,14,4.920643,1.854073,-0.229769,15,4.921001,2.026872,-0.23714,15,4.920537,2.142013,-0.215939,15,4.921079,2.198219,-0.204378
down,down,15,2.817104,1.588342,0.157023,16,2.795989,1.848637,0.148805,16,2.791819,2.029777,0.175704,17,2.789997,2.205269,0.178397,17,2.789142,2.317615,0.175602,17,2.787921,2.377604,0.179385
and,and,14,3.971545,2.486175,0.897833,15,3.967657,2.745255,0.896618,15,3.928229,2.981081,0.951304,15,3.894979,3.216057,1.01079,15,3.892235,3.335037,1.01742,15,3.873429,3.438245,1.06064
make,make,9,5.841054,1.194067,-1.29211,9,5.886967,1.349721,-1.39553,14,5.916011,1.549067,-1.43201,14,5.861286,1.974377,-1.24168,15,5.877989,2.014477,-1.32056,15,5.859587,2.19377,-1.24447
out,out,15,2.915623,1.383968,0.189901,15,2.90584,1.562993,0.213272,15,2.900302,1.802983,0.253916,16,2.900334,2.231486,0.257109,16,2.898205,2.280505,0.266028,17,2.899426,2.457656,0.263886
what,what,16,4.975301,1.791825,0.407857,16,4.94964,2.143116,0.580123,16,4.926168,2.468848,0.665865,17,4.937272,2.82859,0.597104,17,4.924059,2.940888,0.660383,17,4.924273,3.108895,0.651239
she,she,10,2.205043,1.529339,-0.262486,11,2.209281,1.814522,-0.328594,12,2.220995,2.068112,-0.400736,12,2.20545,2.490611,-0.337979,12,2.209674,2.586062,-0.354826,12,2.204612,2.779102,-0.329793
